CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Sociedade;Razao_Social;CNPJ;Tipo_Sociedade;Descricao_Atividades;Pais_Sede;UF_Sede;Municipio_Sede;Participacao_Emissor;Possui_Registro_CVM;Codigo_CVM;Razao_Aquisicao_Manutencao;Data_Valor_Mercado;Data_Valor_Contabil;Valor_Mercado;Valor_Contabil
00.000.000/0001-91;2024-12-31;14;147862;BCO BRASIL S.A.;848754;Banco Patagonia S.A.;08884213000135;;;;;;80.39000000;;;;;;;
00.000.000/0001-91;2024-12-31;14;147862;BCO BRASIL S.A.;848755;Banco Votorantim S.A.;59588111000103;;;;;;49.99000000;;;;;;;
00.000.000/0001-91;2024-12-31;14;147862;BCO BRASIL S.A.;848756;BB AKTIENGESELLSCHAFT (BB AG);00000000000000;;;;;;100.00000000;;;;;;;
00.000.000/0001-91;2024-12-31;14;147862;BCO BRASIL S.A.;848757;BB Cayman Islands Holding;05528375000142;;;;;;100.00000000;;;;;;;
00.000.000/0001-91;2024-12-31;14;147862;BCO BRASIL S.A.;848758;BB Elo Cartões Participações S.A.;05105802000180;;;;;;100.00000000;;;;;;;
00.000.000/0001-91;2024-12-31;14;147862;BCO BRASIL S.A.;848759;BB Gestão de Recursos - Distribuidora de Títulos e Val. Mobiliários S.A.;30822936000169;;;;;;100.00000000;;;;;;;
00.000.000/0001-91;2024-12-31;14;147862;BCO BRASIL S.A.;848760;BB Leasing S.A. - Arrendamento Mercantil;31546476000156;;;;;;100.00000000;;;;;;;
00.000.000/0001-91;2024-12-31;14;147862;BCO BRASIL S.A.;848761;BB Seguridade Participações S.A.;17344597000194;;;;;;66.25000000;;;;;;;
00.000.000/0001-91;2024-12-31;14;147862;BCO BRASIL S.A.;848762;BB-Banco de Investimento S.A.;24933830000130;;;;;;100.00000000;;;;;;;
00.000.208/0001-00;2024-12-31;18;148166;BRB BANCO DE BRASILIA S.A.;849862;BRB - Crédito, Financiamento e Investimento S.A.;33136888000143;;;;;;51.00000000;;;;;;;
