CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Empresarial;Escriturador;CNPJ_Escriturador;Tipo_Endereco;Logradouro;Complemento;Bairro;Cidade;Sigla_UF;Pais;CEP;DDI_Telefone;DDD_Telefone;Telefone;DDI_Fax;DDD_Fax;Fax;Email;Data_Inicio_Atuacao;Data_Fim_Atuacao
00.000.000/0001-91;2023-01-01;2;125484;BCO BRASIL S.A.;BANCO DO BRASIL S.A.;00.000.000/0001-91;;Av Republica do Chile, 330;9º andar - T Oeste;Centro;Rio de Janeiro;RJ;Brasil;20031170;;21;38083715;;21;38083715;aescriturais@bb.com.br;1900-10-12;
00.001.180/0001-26;2023-01-01;5;131365;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Banco Bradesco S.A.;60.746.948/0001-12;;Núcleo Cidade de Deus, Prédio Amarelo;2º andar;Vila Yara;Osasco;SP;Brasil;06029900;;011;36849441;;;;dac.acecustodia@bradesco.com.br;2011-10-01;2023-06-30
00.001.180/0001-26;2023-01-01;5;131365;CENTRAIS ELET BRAS S.A. - ELETROBRAS;ITAÚ CORRETORA DE VALORES S.A. ("ITAUCOR");61.194.353/0001-64;;Avenida Brigadeiro Faria Lima 3500;3o andar;Itaim Bibi;São Paulo;SP;Brasil;04538132;;11;30039285;;;;preatendimentoescritural@itau-unibanco.com.br;2023-07-03;
00.070.698/0001-11;2023-01-01;1;125096;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;Banco Bradesco S.A.;60.746.948/0001-12;;Núcleo Cidade de Deus, S/N, Prédio Amarelo;2° Andar;Vila Yara;Osasco;SP;Brasil;06029900;;011;36842852;;011;36842852;4010.tomo@bradesco.com.br;2016-02-01;
00.185.475/0001-08;2023-01-01;1;123830;PARCOM PARTICIPACOES S.A. - EM LIQUIDAÇÃO;Itaú Corretora de Valores SA;61.194.353/0001-64;;Av. Brigadeiro Faria Lima, 3.500;3º andar;Itaim Bibi;São Paulo;SP;Brasil;04538132;;011;27974529;;011;27973750;adriana.souza@itau-unibanco.com.br;2015-01-15;
00.192.769/0001-59;2023-01-01;2;127184;NEUMARKT TRADE AND FINANCIAL CENTER S/A;Itau Unibanco S/A;60.701.190/0001-04;;PRAÇA ALFREDO EGYDIO DE SOUZA ARANHA;100;TORRE OLAVO SETUBAL;São Paulo;SP;Brasil;04344902;;011;50191133;;011;50191144;relaçoes.investidores@itausa.com.br;1999-09-16;
00.194.724/0001-13;2023-01-01;2;128934;AES Brasil Operações S.A.;Itaú Corretora de Valores;61.194.353/0001-64;;Agência Especializada Acionistas - Rua Boa Vista, 176;1 subsolo;Centro;São Paulo;SP;Brasil;01014000;;11;30039285;;11;30039285;escrituracaoacoes@itau-unibanco.com.br;2021-08-02;
00.242.184/0001-04;2023-01-01;2;127966;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;Itaú Corretora de Valores S.A.;61.194.353/0001-64;;Av. Brigadeiro Faria Lima, 3500;3º andar;Itaim Bibi;São Paulo;SP;Brasil;04538132;;11;;;11;;escrituracaoacoes@itau-unibanco.com.br;2020-10-20;
00.249.786/0001-85;2023-01-01;1;123827;FORPART S.A. - EM LIQUIDAÇÃO;Itaú Corretora de Valores SA;61.194.353/0001-64;;Av. Brigadeiro Faria Lima, 3.500;3º andar;Itaim Bibi;São Paulo;SP;Brasil;04538132;;011;27974529;;011;27973750;adriana.souza@itau-unibanco.com.br;2015-01-15;
00.272.185/0001-93;2023-01-01;1;128458;CIMS S.A.;Banco Bradesco S.A.;60.746.948/0001-12;;Cidade de Deus;s/n;Vila Yara;;SP;Brasil;;;;;;;;;2016-06-01;
