CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Empresarial;Canal_Divulgacao;Sigla_UF
00.000.000/0001-91;2023-01-01;2;125484;BCO BRASIL S.A.;Correio Braziliense;DF
00.000.000/0001-91;2023-01-01;2;125484;BCO BRASIL S.A.;ri.bb.com.br;BR
00.000.000/0001-91;2023-01-01;2;125484;BCO BRASIL S.A.;www.cvm.gov.br;BR
00.000.000/0001-91;2023-01-01;2;125484;BCO BRASIL S.A.;www.valor.com.br/valor-ri/fatos-relevantes;BR
00.000.208/0001-00;2023-01-01;2;128706;BRB BCO DE BRASILIA S.A.;Brasil Econômico;RJ
00.000.208/0001-00;2023-01-01;2;128706;BRB BCO DE BRASILIA S.A.;Jornal de Brasília;DF
00.000.208/0001-00;2023-01-01;2;128706;BRB BCO DE BRASILIA S.A.;Portal de Notícias NEO1 (http://www.portalneo1.net);SP
00.000.208/0001-00;2023-01-01;2;128706;BRB BCO DE BRASILIA S.A.;Valor Econômico;SP
00.001.180/0001-26;2023-01-01;5;131365;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Valor Econômico;SP
00.070.698/0001-11;2023-01-01;1;125096;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;Correio Braziliense;DF
00.080.671/0001-00;2023-01-01;1;128026;CARAMURU ALIMENTOS S.A.;Jornal Plural Notícias;GO
00.185.475/0001-08;2023-01-01;1;123830;PARCOM PARTICIPACOES S.A. - EM LIQUIDAÇÃO;Diário do Acionista;RJ
00.192.769/0001-59;2023-01-01;2;127184;NEUMARKT TRADE AND FINANCIAL CENTER S/A;Diário Oficial de Santa Catarina;SC
00.192.769/0001-59;2023-01-01;2;127184;NEUMARKT TRADE AND FINANCIAL CENTER S/A;Jornal de Santa Catarina (Blumenau);SC
00.194.724/0001-13;2023-01-01;2;128934;AES Brasil Operações S.A.;Portal Valor RI (http://www.valor.com.br/valor-ri);BR
00.194.724/0001-13;2023-01-01;2;128934;AES Brasil Operações S.A.;Valor Econômico;SP
00.242.184/0001-04;2023-01-01;2;127966;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;Diário Oficial do Estado de São Paulo;SP
00.242.184/0001-04;2023-01-01;2;127966;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;O Dia;SP
00.249.786/0001-85;2023-01-01;1;123827;FORPART S.A. - EM LIQUIDAÇÃO;Diário do Acionista;RJ
00.272.185/0001-93;2023-01-01;1;128458;CIMS S.A.;Monitor Mercantil;RJ
00.336.701/0001-04;2023-01-01;2;128236;TELEC BRASILEIRAS S.A. TELEBRAS;http://www.telebras.com.br/investidores;DF
00.336.701/0001-04;2023-01-01;2;128236;TELEC BRASILEIRAS S.A. TELEBRAS;https://jornaldebrasilia.com.br;DF
00.359.742/0001-08;2023-01-01;2;125513;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;Diário de Sorocaba;SP
00.359.742/0001-08;2023-01-01;2;125513;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;DIÁRIO OFICIAL DO ESTADO DE SP;SP
00.359.742/0001-08;2023-01-01;2;125513;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;Valor Econômico;SP
00.383.281/0001-09;2023-01-01;3;123718;BNDES PARTICIPACOES S.A. - BNDESPAR;Diário Oficial da União;DF
00.383.281/0001-09;2023-01-01;3;123718;BNDES PARTICIPACOES S.A. - BNDESPAR;O Estado de São Paulo;SP
00.389.481/0001-79;2023-01-01;3;129214;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;Tribuna da Bahia - digital;BA
00.389.481/0001-79;2023-01-01;3;129214;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;Tribuna da Bahia - Impresso;BA
00.545.378/0001-70;2023-01-01;1;125680;SERRA AZUL WATER PARK SA;Diário Comércio & Indústria;SP
00.545.378/0001-70;2023-01-01;1;125680;SERRA AZUL WATER PARK SA;Diário Oficial do Estado;SP
00.622.416/0001-41;2023-01-01;2;131333;STATKRAFT ENERGIAS RENOVAVEIS S.A.;Diário Oficial do Estado;SC
00.622.416/0001-41;2023-01-01;2;131333;STATKRAFT ENERGIAS RENOVAVEIS S.A.;Notícias do Dia;SC
00.644.907/0001-93;2023-01-01;1;122919;INVESTCO S.A.;Valor Econômico (Edição Nacional);TO
00.743.065/0001-27;2023-01-01;2;127090;LITEL PARTICIPACOES S.A.;Diário Oficial do Estado;RJ
00.743.065/0001-27;2023-01-01;2;127090;LITEL PARTICIPACOES S.A.;Monitor Mercantil;RJ
00.776.574/0001-56;2023-01-01;6;132683;AMERICANAS S.A. - em Recuperação Judicial;Valor Econômico;SP
00.864.214/0001-06;2023-01-01;2;130840;ENERGISA S.A.;Diário do Comércio;MG
