CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Plano_Recompra;Data_Deliberacao;Data_Inicio_Recompra;Data_Fim_Recompra;Valor_Reserva_Disponivel_Recompra;Outras_Caracteristicas_Importantes
00.336.701/0001-04;2020-01-01;12;103080;TELEC BRASILEIRAS S.A. TELEBRAS;38198;2018-01-28;;;0.00;Não existe plano de recompra.
00.336.701/0001-04;2020-01-01;12;103080;TELEC BRASILEIRAS S.A. TELEBRAS;38199;2018-01-28;;;0.00;Não existe plano de recompra.
00.545.378/0001-70;2020-01-01;1;95407;SERRA AZUL WATER PARK SA;36024;2013-01-01;2013-01-01;2013-01-02;0.00;Não aplicável
01.027.058/0001-91;2020-01-01;21;104759;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;38706;2019-08-21;2019-09-02;2019-09-10;2247359000.00;Durante a reunião do Conselho de Administração realizada nesta data, foi aprovada, em complemento aos programas de recompra aprovados em 20 de fevereiro de 2019, a abertura de um novo Programa de Recompra de Ações ("Programa"), que tem como objetivo, único e exclusivo, fazer frente aos compromissos assumidos pela Companhia no âmbito dos programas de remuneração, retenção e incentivo de seus colaboradores e administradores, por meio do qual a Diretoria foi autorizada a adquirir, em nome da Companhia, até 400.000 (quatrocentas mil) ações ordinárias, sem valor nominal, de sua própria emissão, conforme detalhado no Comunicado sobre Negociação de Ações de Própria Emissão,preparado na forma do Anexo 30-XXXVI da Instrução CVM nº 480 divulgado nesta data.No Programa ora aprovado será adquirido o total de até 400.000 (quatrocentas mil) ações ordinárias e este terá prazo de vigência de 02 a 10 de setembro de 2019. Fica a Diretoria da Companhia autorizada a definir a oportunidade e a quantidade a ser adquirida, sempre dentro dos limites autorizados. As operações de recompra serão realizadas em bolsa, a preços de mercado, com a intermediação da Bradesco S.A. Corretora de Títulos e Valores Mobiliários, com sede na Avenida Paulista, 1450, 7º andar, São Paulo, SP.Os membros do Conselho de Administração entendem que a situação financeira atual da Companhia é compatível com a possível execução dos Programas nas condições aprovadas e se sentem confortáveis de que a recompra de ações não prejudicará o cumprimento das obrigações assumidas com credores nem opagamento de dividendos obrigatórios mínimos. Essa conclusão resulta da avaliação do potencial montante financeiro a ser empregado no Programa, levando-se em consideração (i) o nível de obrigações assumidas com credores, possuindo plena capacidade de pagamento dos compromissos financeiros assumidos e (ii) o fato de que as operações da Companhia são fortes geradoras de caixa.
01.027.058/0001-91;2020-01-01;21;104759;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;38707;2019-02-20;2019-03-01;2019-03-10;3795879000.00;Durante a reunião do Conselho de Administração realizada nesta data, foi aprovada a abertura de dois novos Programas de Recompra de Ações ("Programas"), por meio do qual a Diretoria foi autorizada a adquirir, em nome da Companhia, até 2.170.000 (dois milhões e cento e setenta mil) de ações ordinárias, sem valor nominal, de sua própria emissão, conforme detalhado no Comunicado sobre Negociação de Ações de Própria Emissão, preparado na forma do Anexo 30-XXXVI da Instrução CVM nº 480 divulgado nesta data.Nos Programas ora aprovados serão adquiridas o total de até 2.170.000 (dois milhões e cento e setenta mil) de ações ordinárias, sendo que, no primeiro Programa serão adquiridas até 1.100.000 ações (um milhão e cem mil ) com prazo de vigência entre 1º de março de 2019 e 10 de março de 2019, e no segundo Programa serão adquiridas até 1.070.000 ações (um milhão e setenta mil) com prazo de vigência entre 1º de agosto de 2019 e 10 de agosto de 2019. Fica a Diretoria da Companhia autorizada a definir a oportunidade e a quantidade a ser adquirida, sempre dentro dos limites autorizados.As operações de recompra serão realizadas em bolsa, a preços de mercado, com a intermediação da Bradesco S.A. Corretora de Títulos e Valores Mobiliários, com sede na Avenida Paulista, 1450, 7º andar, São Paulo, SP.A aquisição das ações tem como objetivo fazer frente aos compromissos assumidos pela Companhia no âmbito dos programas de remuneração, retenção e incentivo de seus colaboradores e administradores. Os membros do Conselho de Administração entendem que a situação financeira atual da Companhia é compatível com a possível execução dos Programas nas condições aprovadas e se sentem confortáveis de que a recompra de ações não prejudicará o cumprimento das obrigações assumidas com credores nem o pagamento de dividendos obrigatórios mínimos. Essa conclusão resulta da avaliação do potencial montante financeiro a ser empregado no Programa, levando-se em consideração (i) o nível de obrigações assumidas com credores, possuindo plena capacidade de pagamento dos compromissos financeiros assumidos e (ii) o fato de que as operações da Companhia são fortes geradoras de caixa.
01.027.058/0001-91;2020-01-01;21;104759;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;38708;2019-02-20;2019-08-01;2019-08-10;2247359000.00;Durante a reunião do Conselho de Administração realizada nesta data, foi aprovada a abertura de dois novos Programas de Recompra de Ações ("Programas"), por meio do qual a Diretoria foi autorizada a adquirir, em nome da Companhia, até 2.170.000 (dois milhões e cento e setenta mil) de ações ordinárias, sem valor nominal, de sua própria emissão, conforme detalhado no Comunicado sobre Negociação de Ações de Própria Emissão, preparado na forma do Anexo 30-XXXVI da Instrução CVM nº 480 divulgado nesta data.Nos Programas ora aprovados serão adquiridas o total de até 2.170.000 (dois milhões e cento e setenta mil) de ações ordinárias, sendo que, no primeiro Programa serão adquiridas até 1.100.000 ações (um milhão e cem mil ) com prazo de vigência entre 1º de março de 2019 e 10 de março de 2019, e no segundo Programa serão adquiridas até 1.070.000 ações (um milhão e setenta mil) com prazo de vigência entre 1º de agosto de 2019 e 10 de agosto de 2019. Fica a Diretoria da Companhia autorizada a definir a oportunidade e a quantidade a ser adquirida, sempre dentro dos limites autorizados.As operações de recompra serão realizadas em bolsa, a preços de mercado, com a intermediação da Bradesco S.A. Corretora de Títulos e Valores Mobiliários, com sede na Avenida Paulista, 1450, 7º andar, São Paulo, SP.A aquisição das ações tem como objetivo fazer frente aos compromissos assumidos pela Companhia no âmbito dos programas de remuneração, retenção e incentivo de seus colaboradores e administradores. Os membros do Conselho de Administração entendem que a situação financeira atual da Companhia é compatível com a possível execução dos Programas nas condições aprovadas e se sentem confortáveis de que a recompra de ações não prejudicará o cumprimento das obrigações assumidas com credores nem o pagamento de dividendos obrigatórios mínimos. Essa conclusão resulta da avaliação do potencial montante financeiro a ser empregado no Programa, levando-se em consideração (i) o nível de obrigações assumidas com credores, possuindo plena capacidade de pagamento dos compromissos financeiros assumidos e (ii) o fato de que as operações da Companhia são fortes geradoras de caixa.
01.027.058/0001-91;2020-01-01;21;104759;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;38709;2018-02-23;2018-02-23;2019-02-22;3341627752.13;Durante a reunião do Conselho de Administração realizada nesta data, foi autorizada a abertura de um novo Programa de Recompra de Ações ("Programa"), por meio do qual a Diretoria foi autorizada a adquirir, em nome da Companhia, até 1.550.000 (um milhão e quinhentos e cinquenta mil)de ações ordinárias, sem valor nominal, de sua própria emissão, equivalentes a aproximadamente 0,14% (zero vírgula catorze por cento) das ações em circulação da Companhia, de acordo com a definição dada pelo artigo 8º, §3º da Instrução CVM nº 567/15, a fim de atender ao exercício dasopções e/ou ações a serem outorgadas no âmbito do Plano de Opções de Compra de Ações ("Plano"), aprovado e aditado nas Assembleias Gerais Ordinárias e Extraordinárias realizadas em 01/06/2009 e 29/04/2011, respectivamente, e destinado a estatutários e não estatutários elegíveisconforme regras previstas no Plano. A autorização vigorará por 365 (trezentos e sessenta e cinco) dias, com início em 22 de fevereiro de 2018 e término em 22 de fevereiro de 2019, nos termos do art. 6º, da Instrução CVM nº 567/2015, e competirá à Diretoria definir a oportunidade e a quantidade a ser adquirida, dentro dos limitesautorizados e do prazo de validade da autorização com a realização das operações.As operações de recompra serão realizadas em bolsa, a preços de mercado, com a intermediação da Bradesco S.A. Corretora de Títulos e Valores Mobiliários, com sede na Avenida Paulista, 1450, 7º andar, São Paulo, SP e Votorantim Corretora de Títulos e Valores Mobiliários Ltda., com sede à Av. das Nações Unidas, 14.171 - Torre A - 14º andar - São Paulo - SP.
01.545.826/0001-07;2020-01-01;9;103853;GAFISA S.A.;38523;2020-04-30;2020-05-04;2021-05-04;498991000.00;
01.545.826/0001-07;2020-01-01;9;103853;GAFISA S.A.;38524;2018-09-28;2018-10-01;2019-10-01;250599000.00;Condição Específica de Execução do Programa: Em adição ao disposto na Instrução CVM nº 567/15, a aquisição de ações pela Companhia via Programa de Recompra está condicionada à manutenção da dívida líquida consolidada da Companhia em um nível igual ou inferior a 60% do seu patrimônio líquido no momento de aquisição das ações.Objetivo do Programa: As ações da Companhia adquiridas no âmbito do programa de recompra de ações serão mantidas em tesouraria com o objetivo de gerar valor aos acionistas da Companhia, podendo ser posteriormente canceladas, alienadas e/ou utilizadas em atendimento ao exercício de opções de compra de ações outorgadas pela Companhia. Quantidade de ações em circulação à época e já mantidas em tesouraria: Conforme definição do artigo 8º da Instrução CVM nº 567/15, em 28.09.2018, a Companhia (i) possui 43.896.669 ações em circulação no mercado, e (ii) 861.245 ações mantidas em tesouraria.
01.545.826/0001-07;2020-01-01;9;103853;GAFISA S.A.;38525;2016-03-03;2016-03-03;2017-09-02;268659126.75;Condição Específica de Execução do Programa: Em adição ao disposto na Instrução CVM nº 567/15, a aquisição de ações pela Companhia via Programa de Recompra está condicionada à manutenção da dívida líquida consolidada da Companhia em um nível igual ou inferior a 60% do seu patrimônio líquido no momento de aquisição das ações.Objetivo do Programa: aquisição de ações de própria emissão, em Bolsa de Valores, com vistas à aplicação de forma eficiente dos recursos disponíveis da Companhia, com expectativa de rentabilidade a médio e longo prazo. Adicionalmente, uma parcela das ações a serem adquiridas poderão ser destinadas ao exercício das opções e/ou ações a serem outorgadas no âmbito do Plano de Opção de Compra de Ações, conforme aprovado em Assembleia Geral Extraordinária da Companhia.Quantidade de ações em circulação à época e já mantidas em tesouraria: À época do plano a Companhia possuía 375.666.433 ações em circulação (conforme definição do Art. 8º, §3º, inciso I, da Instrução CVm nº 567/15) e 10.584.757 ações já mantidas em tesouraria.
