CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Empresarial;Canal_Divulgacao;Sigla_UF
00.000.000/0001-91;2024-01-01;3;135645;BCO BRASIL S.A.;Correio Braziliense;DF
00.000.000/0001-91;2024-01-01;3;135645;BCO BRASIL S.A.;https://portal.mzgroup.com/fatos-relevantes/;SP
00.000.000/0001-91;2024-01-01;3;135645;BCO BRASIL S.A.;ri.bb.com.br;BR
00.000.000/0001-91;2024-01-01;3;135645;BCO BRASIL S.A.;www.cvm.gov.br;BR
00.000.208/0001-00;2024-01-01;2;137122;BRB BANCO DE BRASILIA S.A.;Diário Oficial do Distrito Federal;DF
00.000.208/0001-00;2024-01-01;2;137122;BRB BANCO DE BRASILIA S.A.;Jornal Correio Braziliense;DF
00.000.208/0001-00;2024-01-01;2;137122;BRB BANCO DE BRASILIA S.A.;Portal de notícias Luz Publicidade (https://luzdigi.com.br);RJ
00.001.180/0001-26;2024-01-01;2;142280;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Valor Econômico;SP
00.070.698/0001-11;2024-01-01;4;135798;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;Correio Braziliense;DF
00.080.671/0001-00;2024-01-01;1;137800;CARAMURU ALIMENTOS S.A.;Jornal Plural Notícias;GO
00.185.475/0001-08;2024-01-01;1;135943;PARCOM PARTICIPACOES S.A. - EM LIQUIDAÇÃO;Diário do Acionista;RJ
00.192.769/0001-59;2024-01-01;2;134474;NEUMARKT TRADE AND FINANCIAL CENTER S/A;Diário Oficial de Santa Catarina;SC
00.192.769/0001-59;2024-01-01;2;134474;NEUMARKT TRADE AND FINANCIAL CENTER S/A;Jornal de Santa Catarina (Blumenau);SC
00.194.724/0001-13;2024-01-01;2;142892;Auren Operações S.A.;Portal Valor RI (http://www.valor.com.br/valor-ri);BR
00.194.724/0001-13;2024-01-01;2;142892;Auren Operações S.A.;Valor Econômico;SP
00.242.184/0001-04;2024-01-01;1;138613;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;Diário Oficial do Estado de São Paulo;SP
00.242.184/0001-04;2024-01-01;1;138613;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;O Dia;SP
00.249.786/0001-85;2024-01-01;1;135942;FORPART S.A. - EM LIQUIDAÇÃO;Diário do Acionista;RJ
00.272.185/0001-93;2024-01-01;1;137632;CIMS S.A.;Monitor Mercantil;RJ
00.336.701/0001-04;2024-01-01;1;137263;TELEC BRASILEIRAS S.A. TELEBRAS;http://www.telebras.com.br/investidores;DF
00.336.701/0001-04;2024-01-01;1;137263;TELEC BRASILEIRAS S.A. TELEBRAS;https://jornaldebrasilia.com.br;DF
00.357.038/0001-16;2024-01-01;4;142595;Centrais Elétricas do Norte do Brasil S.A.;Jornal de Brasília;DF
00.357.038/0001-16;2024-01-01;4;142595;Centrais Elétricas do Norte do Brasil S.A.;Portal de notícias - Valor Globo;SP
00.359.742/0001-08;2024-01-01;2;143939;FICTOR ALIMENTOS S.A.;Diário de Sorocaba;SP
00.359.742/0001-08;2024-01-01;2;143939;FICTOR ALIMENTOS S.A.;DIÁRIO OFICIAL DO ESTADO DE SP;SP
00.359.742/0001-08;2024-01-01;2;143939;FICTOR ALIMENTOS S.A.;Valor Econômico;SP
00.383.281/0001-09;2024-01-01;2;137660;BNDES PARTICIPACOES S.A. - BNDESPAR;Diário Oficial da União;DF
00.383.281/0001-09;2024-01-01;2;137660;BNDES PARTICIPACOES S.A. - BNDESPAR;O Estado de São Paulo;SP
00.389.481/0001-79;2024-01-01;3;136981;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;Tribuna da Bahia - digital;BA
00.389.481/0001-79;2024-01-01;3;136981;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;Tribuna da Bahia - Impresso;BA
00.545.378/0001-70;2024-01-01;2;134279;SERRA AZUL WATER PARK SA;Diário Comércio & Indústria;SP
00.545.378/0001-70;2024-01-01;2;134279;SERRA AZUL WATER PARK SA;Diário Oficial do Estado;SP
00.622.416/0001-41;2024-01-01;1;137925;STATKRAFT ENERGIAS RENOVAVEIS S.A.;Diário Oficial do Estado;SC
00.622.416/0001-41;2024-01-01;1;137925;STATKRAFT ENERGIAS RENOVAVEIS S.A.;Notícias do Dia;SC
00.622.416/0001-41;2024-01-01;1;137925;STATKRAFT ENERGIAS RENOVAVEIS S.A.;www.statkraft.com.br;SC
