CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Plano_Recompra;Data_Deliberacao;Data_Inicio_Recompra;Data_Fim_Recompra;Valor_Reserva_Disponivel_Recompra;Outras_Caracteristicas_Importantes
00.336.701/0001-04;2022-01-01;13;127244;TELEC BRASILEIRAS S.A. TELEBRAS;46927;2018-01-28;;;0.00;Não existe plano de recompra.
00.336.701/0001-04;2022-01-01;13;127244;TELEC BRASILEIRAS S.A. TELEBRAS;46928;2018-01-28;;;0.00;Não existe plano de recompra.
00.359.742/0001-08;2022-01-01;5;125676;FICTOR ALIMENTOS S.A.;46494;2023-02-28;2023-03-01;2024-09-01;2000000.00;O objetivo do Programa de Recompra de Ações é realizar a aplicação eficiente dos recursos disponíveis em caixa de modo a maximizar a geração de valor ao acionista por meio da alocação de capital da empresa, em razão do desconto atual das ações no mercado. As ações adquiridas poderão ser utilizá-las para permanência em tesouraria, posterior alienação e/ou cancelamento.Com relação aos efeitos econômicos da operação, espera-se gerar valor para os acionistas em razão do desconto atual das ações no mercado, otimizando a alocação de recursos próprios disponíveis. Outros efeitos econômicos aos acionistas serão (i) um maior retorno financeiro, pois as ações adquiridas são retiradas de circulação e o montante que possivelmente vier a ser destinado aos dividendos passa a ser distribuído a uma quantidade menor de ações e (ii) o aumento do percentual de participação do acionista no capital social, se houver cancelamento de ações.
00.416.968/0001-01;2022-01-01;11;122285;BANCO INTER S.A.;44929;2020-03-12;2020-03-12;2021-09-11;149492000.00;De acordo com as informações financeiras mais recentes do Banco, referentes ao período encerrado em 31 de dezembro de 2020, o Banco possui recursos disponíveis no montante de R$149.492 mil (R$79.202 mil em 31 de março de 2021) nas contas de reserva de capital, reserva de lucros (ex-reserva legal).Considerando que a quantidade de ações a serem adquiridas no âmbito do Programa de Recompra estará limitada em até 40.126.590 ações ordinárias e até 88.634.592 ações preferenciais, diretamente ou na forma de Units representativas de 1 (uma) ação ordinária e 2 (duas) ações preferenciais de emissão do Banco, sendo que a efetiva recompra do número total de ações previsto no Programa de Recompra dependerá, dentre outros aspectos, do número de ações mantidas em tesouraria pelo Banco no momento da negociação e da existência de recursos disponíveis, de modo a atender os ditames previstos nos artigos 7º e 8º da ICVM nº 567/15 e demais normas aplicáveis.
00.545.378/0001-70;2022-01-01;6;135072;SERRA AZUL WATER PARK SA;46983;2013-01-01;2013-01-01;2013-01-02;0.00;Não aplicável
00.776.574/0001-56;2022-01-01;16;127140;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;46881;2022-01-28;2022-01-31;2023-07-21;1003760.00;
00.776.574/0001-56;2022-01-01;16;127140;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;46882;2021-08-12;2021-08-12;2023-02-10;1003761.00;
00.864.214/0001-06;2022-01-01;20;127076;ENERGISA S.A.;46856;2021-04-15;2021-04-16;2021-04-23;3279086154.49;Objetivo: O Programa de Recompra visou a aquisição de Units de emissão da Companhia para, primordialmente, fazer frente às obrigações decorrentes dos programas de concessão de ações aprovados, de tempos em tempos, pelo Conselho de Administração da Companhia com base no Plano de Incentivo de Longo Prazo Baseado em Ações da Companhia aprovado na Assembleia Geral Extraordinária realizada em 25 de abril de 2018 ("Programas de Concessão de Ações - ILP"). As ações adquiridas que não forem transferidas para os beneficiários do 1º Programa de Concessão de Ações - ILP deverão ser destinadas para manutenção em tesouraria para, preferencialmente, serem concedidas aos beneficiários dos demais Programas de Concessão de Ações - ILP já em vigor, posterior cancelamento ou alienação, sem redução de capital da Companhia.i)Quantidade máxima de Units a serem adquiridas: até 1.100.000 (um milhão e cem mil) Units de emissão da Companhia, representativas de 1.100.000 (um milhão e cem mil) ações ordinárias e 4.400.000 (quatro milhões e quatrocentas mil) ações preferencias de emissão da Companhia, equivalente, nesta data, a 0,30% e 0,44% das ações totais emitidas e em circulação da Companhia, respectivamente. ii)Quantidades de ações em circulação no mercado dia 15 de abril de 2021: se encontram em circulação no mercado, de acordo com a definição dada pelo artigo 8º, §3, I da Instrução CVM nº 567, de 17 de setembro de 2015, 250.379.611 ações ordinárias 998.388.059 ações preferenciais e 247.304.454 Units.iii)Quantidade de ações em tesouraria no dia 15 de abril de 2021: não há, nesta data, ações mantidas em tesouraria pela Companhia.iv)Preço e modo de aquisição: as aquisições decorrentes do Programa de Recompra serão realizadas em ambiente de bolsa, na B3 S.A. - Brasil, Bolsa, Balcão, a preço de mercado. v)Prazo máximo para aquisição de ações de emissão da Companhia no âmbito do Programa de Recompra: até 18 (dezoito) meses, a contar da aprovação do Programa de Recompra pelo Conselho de Administração, isto é, entre 16 de abril de 2021 e 16 de outubro de 2022, cabendo a Diretoria definir as datas em que uma ou mais recompras será(ão) efetivamente executada(s) ou até que seja atingido o limite máximo de Units objeto do Programa de Recompra o que ocorrer primeiro.vi)Instituição financeira que atuará como intermediária: XP Investimentos CCTVM S.A.vii)Recursos disponíveis: nos termos do art. 7º, §3º da Instrução CVM nº 567/2015, a existência de recursos disponíveis deve ser verificada pela diretoria com base nas últimas demonstrações financeiras divulgadas anteriormente à efetiva transferência da propriedade das ações de emissão da Companhia. De acordo com as informações mais recentes da Companhia, relativas ao exercício social encerrado em 31 de dezembro de 2020.viii)Em 23 de abril de 2021, do Programa de Recompra de Ações aprovado pelo Conselho de Administração da Companhia em 15 de abril de 2021 ("Programa de Recompra"), foi encerrado mediante a aquisição da totalidade de Units objeto do Programa de Recompra.
01.027.058/0001-91;2022-01-01;20;126320;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;46719;2021-03-25;2021-04-06;2021-04-12;4099436000.00;Durante a reunião do Conselho de Administração realizada nesta data, foi aprovada a abertura de novo Programa de Recompra de Ações em complemento ao programa de recompra aprovado em 25 de março de 2021 ("Programa"), por meio do qual a Diretoria foi autorizada a adquirir, em nome da Companhia, até 7.032.041 (sete milhões, trinta e duasmil e quarenta e uma) ações ordinárias, sem valor nominal, de sua própria emissão, conforme detalhado no Comunicado sobre Negociação de Ações de Própria Emissão, preparado na forma do Anexo 30-XXXVI da Instrução CVM nº 480 divulgado nesta data.No Programa ora aprovado serão adquiridas o total de até 7.032.041 (sete milhões, trinta e duas mil e quarenta e uma) de ações ordinárias e terá o prazo de vigência de 06 de abril de 2021 a 12 de abril de 2021. Fica a Diretoria da Companhia autorizada a definir a oportunidade e a quantidade a ser adquirida, sempre dentro dos limites autorizados. As operações de recompra serão realizadas em bolsa, a preços de mercado, com a intermediação da Ágora Corretora de Títulos e Valores Mobiliários SA, com sede na Avenida Paulista, 1450, 7º andar, São Paulo, SP. A aquisição das ações tem como objetivo fazer frente aos compromissos assumidos pela Companhia no âmbito dos programas de remuneração, retenção e incentivo de seus colaboradores e administradores.Os membros do Conselho de Administração entendem que a situação financeira atual da Companhia é compatível com a possível execução do Programa nas condições aprovadas e se sentem confortáveis de que a recompra de ações não prejudicará o cumprimento das obrigações assumidas com credores nem o pagamento de dividendos obrigatórios mínimos. Essa conclusão resulta da avaliação do potencial montante financeiro a ser empregado no Programa, levando-se em consideração (i) o nível de obrigações assumidas com credores, possuindo plena capacidade de pagamento dos compromissos financeiros assumidos e (ii) o fato de que as operações da Companhia são geradoras de caixa.
01.027.058/0001-91;2022-01-01;20;126320;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;46720;2020-06-24;2020-06-25;2020-07-03;3880586000.00;Durante a reunião do Conselho de Administração realizada nesta data, foi aprovada a abertura de novo Programa de Recompra de Ações em complemento ao programa de recompra aprovado em 19 de fevereiro de 2020 ("Programa"), por meio do qual a Diretoria foi autorizada a adquirir, em nome da Companhia, até 2.595.332 (dois milhões e quinhentas e noventa e cinco mil e trezentas e trinta e duas) ações ordinárias, sem valor nominal, de sua própria emissão, conforme detalhado no Comunicado sobre Negociação de Ações de Própria Emissão, preparado na forma do Anexo 30-XXXVI da Instrução CVM nº 480 divulgado nesta data.No Programa ora aprovado serão adquiridas o total de até 2.595.332 (dois milhões e quinhentas e noventa e cinco mil e trezentas e trinta e duas) de ações ordinárias e terá o prazo de vigência de 25 de junho de 2020 a 03 de julho de 2020. Fica a Diretoria da Companhia autorizada a definir a oportunidade e a quantidade a ser adquirida, sempre dentro dos limites autorizados. As operações de recompra serão realizadas em bolsa, a preços de mercado, com a intermediação da Ágora Corretora de Títulos e Valores Mobiliários SA, com sede na Avenida Paulista, 1450, 7º andar, São Paulo, SP. A aquisição das ações tem como objetivo fazer frente aos compromissos assumidos pela Companhia no âmbito dos programas de remuneração, retenção e incentivo de seus colaboradores e administradores.Os membros do Conselho de Administração entendem que a situação financeira atual da Companhia é compatível com a possível execução do Programa nas condições aprovadas e se sentem confortáveis de que a recompra de ações não prejudicará o cumprimento das obrigações assumidas com credores nem o pagamento de dividendos obrigatórios mínimos. Essa conclusão resulta da avaliação do potencial montante financeiro a ser empregado no Programa, levando-se em consideração (i) o nível de obrigações assumidas com credores, possuindo plena capacidade de pagamento dos compromissos financeiros assumidos e (ii) o fato de que as operações da Companhia são geradoras de caixa.
