CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Sociedade;Razao_Social;CNPJ;Tipo_Sociedade;Descricao_Atividades;Pais_Sede;UF_Sede;Municipio_Sede;Participacao_Emissor;Possui_Registro_CVM;Codigo_CVM;Razao_Aquisicao_Manutencao;Data_Valor_Mercado;Data_Valor_Contabil;Valor_Mercado;Valor_Contabil
00.000.000/0001-91;2022-01-01;23;127089;BCO BRASIL S.A.;721556;Banco Patagonia S.A.;08884213000135;Controlada;Banco múltiplo.;Argentina;;Praia da Pipa;80.39000000;N;;Trata-se de participação estratégica do Conglomerado BB na América do Sul, cuja aquisição teve por objetivo ampliar a parceria entre empresas brasileiras e argentinas, por meio da geração de negócios e diversificação de produtos e serviços.;;2021-12-31;0.00;2520700000.00
00.000.000/0001-91;2022-01-01;23;127089;BCO BRASIL S.A.;721557;Banco Votorantim S.A.;59588111000103;Coligada;Banco múltiplo.;Brasil;SP;São Paulo;50.00000000;N;;Trata-se de participação estratégica do Conglomerado BB.;;2021-12-31;0.00;6710000000.00
00.000.000/0001-91;2022-01-01;23;127089;BCO BRASIL S.A.;721558;BB-Banco de Investimento S.A.;24933830000130;Controlada;Banco de Investimento;Brasil;RJ;Rio de Janeiro;100.00000000;N;;Subsidiária integral constituída com o objetivo de complementar os serviços de banco de investimento à atividade principal do Conglomerado BB, que viabiliza e complementa, o exercício das atividades previstas no objeto social do seu Controlador. O BB-Banco de Investimento S.A. detém participações acionárias em coligadas e controladas, avaliadas pelo método de equivalência patrimonial, dentre as quais, UBS BB e Ativos S.A. ';;2021-12-31;0.00;849800000.00
00.000.000/0001-91;2022-01-01;23;127089;BCO BRASIL S.A.;721559;BB Aktiengesellschaft (BB AG);;Controlada;Banco comercial;Áustria;;Boqueirão do Piauí;100.00000000;N;;Trata-se de participação estratégica do Conglomerado BB.;;2021-12-31;0.00;1267700000.00
00.000.000/0001-91;2022-01-01;23;127089;BCO BRASIL S.A.;721560;BB Cayman Islands Holding;05528375000142;Controlada;Holding constituída tendo por objetivo participar, direta ou indiretamente, na qualidade de acionista, sócia ou quotista, do capital de outras sociedades e empresas, bem como dedicar-se a qualquer ato ou atividade legal em virtude da qual sociedades possam ser constituídas segundo a Companies Law, desde que a sociedade não seja constituída para dedicar-se a qualquer ato ou atividade que requeira o consentimento ou aprovação de qualquer oficial, departamento, conselho, agência ou outro órgão sem que tal consentimento ou aprovação prévia seja antes obtida.;Ilhas Cayman;;Sinop;100.00000000;N;;Trata-se de participação estratégica do Conglomerado BB.;;2021-12-31;0.00;1611900000.00
00.000.000/0001-91;2022-01-01;23;127089;BCO BRASIL S.A.;721561;BB Elo Cartões Participações S.A.;05105802000180;Controlada;Participação em outras sociedades;Brasil;DF;Brasília;100.00000000;N;;Trata-se de Sociedade Anônima fechada utilizada como veículo de participação em outras sociedades, notadamente de meios eletrônicos de pagamento. Atualmente possui participação direta na empresa Elo Participações S.A, na Cateno Gestão de Contas de Pagamento S.A., Cielo S.A. e indiretamente na Elo Serviços S.A e Alelo S.A.;;2021-12-31;0.00;9365500000.00
00.000.000/0001-91;2022-01-01;23;127089;BCO BRASIL S.A.;721562;BB Gestão de Recursos - Distribuidora de Títulos e Val. Mobiliários S.A.;30822936000169;Controlada;Gestão de recursos de terceiros e administração dos fundos de investimento.;Brasil;RJ;Rio de Janeiro;100.00000000;N;;Subsidiária constituída com o objetivo de complementar a atividade principal do Conglomerado Banco do Brasil.;;2021-12-31;0.00;1300020000.00
00.000.000/0001-91;2022-01-01;23;127089;BCO BRASIL S.A.;721563;BB Leasing S.A. - Arrendamento Mercantil;31546476000156;Controlada;Prática de operações de arrendamento mercantil de bens móveis ou imóveis, realização de operações de subarrendamento, cessão e aquisição de contratos de arrendamento mercantil, direitos creditórios e demais operações facultadas a sociedade de arrendamento mercantil.;Brasil;DF;Brasília;100.00000000;N;;Subsidiária constituída com o objetivo de complementar a atividade principal do Conglomerado Banco do Brasil.;;2021-12-31;0.00;4782300000.00
00.000.000/0001-91;2022-01-01;23;127089;BCO BRASIL S.A.;721564;BB Seguridade Participações S.A.;17344597000194;Controlada;Participação em sociedades seguradoras, de capitalização, entidades abertas de previdência complementar e sociedades que operam planos privados de assistência à saúde, empresas que detenham participação em outras sociedades administradoras de bens, corretagem e viabilização de negócios envolvendo empresas de seguros dos ramos elementares, de vida e capitalização, planos previdenciários, seguro saúde e em sociedades que operam planos privados de assistência à saúde.;Brasil;DF;Brasília;66.25000000;S;023159;Empresa constituída com o objetivo de complementar a atividade principal do Conglomerado Banco do Brasil.;2021-12-31;2021-12-31;41500000000.00;4954300000.00
00.000.208/0001-00;2022-01-01;19;127097;BRB BANCO DE BRASILIA S.A.;721581;BRB-DTVM Distribuidora de Títulos e Valores Mobiliários S.A.;33850686000169;Controlada;Administradora de Fundos de Investimentos e Distribuição de Títulos e Valores Mobiliários;Brasil;DF;Brasília;99.00000000;N;;As sociedades em que o Banco detém participação fazem parte do grupo do Banco e a manutenção dessa participação é inerente às atividades da empresa. Nenhuma das sociedades ligadas possuem ações negociadas em mercados de valores mobiliários.;;2021-12-31;0.00;50281423.73
00.000.208/0001-00;2022-01-01;19;127097;BRB BANCO DE BRASILIA S.A.;721582;BRB - Crédito, Financiamento e Investimento S.A.;33136888000143;Controlada;Sociedades de Crédito, Financiamento e Investimento - financeiras;Brasil;DF;Brasília;100.00000000;N;;As sociedades em que o Banco detém participação fazem parte do grupo do Banco e a manutenção dessa participação é inerente às atividades da empresa. Nenhuma das sociedades ligadas possuem ações negociadas em mercados de valores mobiliários.;;2021-12-31;0.00;326695566.46
00.000.208/0001-00;2022-01-01;19;127097;BRB BANCO DE BRASILIA S.A.;721583;Cartão BRB S.A.;01984199000100;Controlada;Mercado de meio de pagamento, atuando com um portfólio diversificado de produtos que inclui cartões de crédito, débito, múltiplos e pré-pagos.;Brasil;DF;Brasília;100.00000000;N;;As sociedades em que o Banco detém participação fazem parte do grupo do Banco e a manutenção dessa participação é inerente às atividades da empresa. Nenhuma das sociedades ligadas possuem ações negociadas em mercados de valores mobiliários.;;2021-12-31;0.00;903042434.90
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721175;AES Brasil (Antiga AES Tietê S.A.);02998609000127;Coligada;Geração e Comercialização;Brasil;SP;São Paulo;7.56000000;S;018350;Participação de caráter permanente.;2022-03-31;2022-03-31;363193000.00;35872000.00
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721176;Auren Energia S.A. (antiga CESP - Companhia Energética de São Paulo S.A.);28594234000123;Coligada;Geração e Comercialização;Brasil;SP;São Paulo;2.05000000;S;026620;Participação de caráter permanente.;2022-03-31;2022-03-31;168160000.00;19668000.00
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721177;CEB LAJEADO S.A.;03677638000150;Coligada;Geração e Comercialização;Brasil;DF;Brasília;40.07000000;N;;Participação de caráter permanente.;;2022-03-31;0.00;84774000.00
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721178;Centrais Elétricas de Santa Catarina S.A.;83878892000155;Coligada;Geração, Transmissão, Distribuição e Comercialização;Brasil;SC;Florianópolis;10.75000000;S;002461;Participação de caráter permanente.;2022-03-31;2022-03-31;257141000.00;266636000.00
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721179;Centrais Elétricas do Norte do Brasil S/A - Eletronorte;00357038000116;Controlada;Geração, Transmissão, Distribuição e Comercialização;Brasil;DF;Brasília;99.66000000;N;;Participação de caráter permanente.;;2022-03-31;0.00;19585522000.00
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721180;Centrais Elétricas do Pará S.A. - CELPA;04895728000180;Coligada;Distribuição e Comercialização;Brasil;PA;Belém;0.99000000;S;018309;Participação de caráter permanente.;2022-03-31;2022-03-31;144798000.00;16075000.00
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721181;Cia Paranaense de Energia - COPEL;76483817000120;Coligada;Geração, Transmissão e Distribuição;Brasil;PR;Curitiba;0.56000000;S;014311;Participação de caráter permanente.;2022-03-31;2022-03-31;104093000.00;60413000.00
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721182;Cia. Energética De Brasília;00070698000111;Coligada;Geração e Distribuição;Brasil;DF;Brasília;2.10000000;S;014451;Participação de caráter permanente.;2022-03-31;2022-03-31;27787000.00;11861000.00
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721183;Companhia de Geração Termica de Energia Eletrica;02016507000169;Controlada;Transmissão e Geração;Brasil;SC;Florianópolis;99.89000000;N;;Participação de caráter permanente.;;2022-03-31;0.00;8451797000.00
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721184;Companhia Energética de Pernambuco - CELPE;10835932000108;Coligada;Distribuição e Comercialização;Brasil;PE;Recife;1.56000000;S;014362;Participação de caráter permanente.;2022-03-31;2022-03-31;36893000.00;10365000.00
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721185;Companhia Energética do Ceará;07047251000170;Coligada;Distribuição;Brasil;CE;Fortaleza;7.06000000;S;014869;Participação de caráter permanente.;2022-03-31;2022-03-31;237325000.00;63019000.00
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721186;Companhia Estadual de Distribuição de Energia Elétrica - CEEE-D;08467115000100;Coligada;Distribuição;Brasil;RS;Porto Alegre;4.62000000;S;020648;Participação de caráter permanente.;2022-03-31;2022-03-31;135905000.00;156427000.00
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721187;Companhia Estadual de Geração de Energia Elétrica - CEEE-G;39881421000104;Coligada;Geração;Brasil;RS;Porto Alegre;32.65000000;N;;Participação de caráter permanente.;;2022-03-31;0.00;319153000.00
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721188;Companhia Hidro Elétrica do São Francisco;33541368000116;Controlada;Geração e Transmissão;Brasil;PE;Recife;99.58000000;S;003328;Participação de caráter permanente.;;2022-03-31;0.00;21434612000.00
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721189;CTEEP - Companhia de Transmissão de Energia Elétrica Paulista;02998611000104;Coligada;Transmissão;Brasil;SP;São Paulo;35.07000000;S;018376;Participação de caráter permanente.;2022-03-31;2022-03-31;6306422000.00;1259020000.00
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721190;Eletrobras Participações S/A;01104937000170;Controlada;Participações societárias;Brasil;RJ;Rio de Janeiro;83.71000000;S;015784;Participação de caráter permanente.;2021-03-31;2021-03-31;650028000.00;186350000.00
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721191;Eletronuclear.;42540211000167;Controlada;Geração;Brasil;RJ;Rio de Janeiro;99.95000000;N;;Participação de caráter permanente.;;2022-03-31;0.00;2677126000.00
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721192;EMAE - Empresa Metropolitana de Águas e Energia S.A;02302101000142;Coligada;Geração e Comercialização;Brasil;SP;São Paulo;39.02000000;S;016993;Participação de caráter permanente.;2022-03-31;2022-03-31;580113000.00;115420000.00
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721193;Energisa Mato Grosso - Distribuidora de Energia S/A;03467321000199;Coligada;Distribuição e Geração Própria;Brasil;MT;Cuiabá;0.18000000;S;014605;Participação de caráter permanente.;2022-03-31;2022-03-31;33380000.00;3064000.00
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721194;Energisa S.A.;00864214000106;Coligada;Geração e Comercialização;Brasil;MG;Cataguases;2.31000000;S;015253;Participação de caráter permanente.;2022-03-31;2022-03-31;410063000.00;389337000.00
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721195;EQUATORIAL MARANHÃO DISTRIBUIDORA DE ENERGIA S.A. - Antiga CEMAR;06272793000184;Coligada;Distribuição e Comercialização;Brasil;MA;São Luís;33.55000000;S;016608;Participação de caráter permanente.;2022-03-31;2022-03-31;2138503000.00;1056663000.00
