CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Empresarial;Escriturador;CNPJ_Escriturador;Tipo_Endereco;Logradouro;Complemento;Bairro;Cidade;Sigla_UF;Pais;CEP;DDI_Telefone;DDD_Telefone;Telefone;DDI_Fax;DDD_Fax;Fax;Email;Data_Inicio_Atuacao;Data_Fim_Atuacao
00.000.000/0001-91;2022-01-01;4;122576;BCO BRASIL S.A.;BANCO DO BRASIL S.A.;00.000.000/0001-91;;Av Republica do Chile, 330;9º andar - T Oeste;Centro;Rio de Janeiro;RJ;Brasil;20031170;;21;38083715;;21;38083715;aescriturais@bb.com.br;1900-10-12;
00.001.180/0001-26;2022-01-01;8;122655;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Banco Bradesco S.A.;60.746.948/0001-12;;Núcleo Cidade de Deus, Prédio Amarelo;2º andar;Vila Yara;Osasco;SP;Brasil;06029900;;011;36849441;;011;36842811;dac.acecustodia@bradesco.com.br;2011-10-01;
00.070.698/0001-11;2022-01-01;6;120830;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;Banco Bradesco S.A.;60.746.948/0001-12;;Núcleo Cidade de Deus, S/N, Prédio Amarelo;2° Andar;Vila Yara;Osasco;SP;Brasil;06029900;;011;36842852;;011;36842852;4010.tomo@bradesco.com.br;2016-02-01;
00.185.475/0001-08;2022-01-01;1;111829;PARCOM PARTICIPACOES S.A. - EM LIQUIDAÇÃO;Itaú Corretora de Valores SA;61.194.353/0001-64;;Av. Brigadeiro Faria Lima, 3.500;3º andar;Itaim Bibi;São Paulo;SP;Brasil;04538132;;011;27974529;;011;27973750;adriana.souza@itau-unibanco.com.br;2015-01-15;
00.192.769/0001-59;2022-01-01;2;115549;NEUMARKT TRADE AND FINANCIAL CENTER S/A;Itau Unibanco S/A;60.701.190/0001-04;;PRAÇA ALFREDO EGYDIO DE SOUZA ARANHA;100;TORRE OLAVO SETUBAL;São Paulo;SP;Brasil;04344902;;011;50191133;;011;50191144;relaçoes.investidores@itausa.com.br;1999-09-16;
00.194.724/0001-13;2022-01-01;1;116190;AES Brasil Operações S.A.;Itaú Corretora de Valores;61.194.353/0001-64;;Agência Especializada Acionistas - Rua Boa Vista, 176;1 subsolo;Centro;São Paulo;SP;Brasil;01014000;;11;30039285;;11;30039285;escrituracaoacoes@itau-unibanco.com.br;2021-08-02;
00.242.184/0001-04;2022-01-01;2;116200;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;Itaú Corretora de Valores S.A.;61.194.353/0001-64;;Av. Brigadeiro Faria Lima, 3500;3º andar;Itaim Bibi;São Paulo;SP;Brasil;04538132;;11;;;11;;escrituracaoacoes@itau-unibanco.com.br;2020-10-20;
00.249.786/0001-85;2022-01-01;1;111826;FORPART S.A. - EM LIQUIDAÇÃO;Itaú Corretora de Valores SA;61.194.353/0001-64;;Av. Brigadeiro Faria Lima, 3.500;3º andar;Itaim Bibi;São Paulo;SP;Brasil;04538132;;011;27974529;;011;27973750;adriana.souza@itau-unibanco.com.br;2015-01-15;
00.272.185/0001-93;2022-01-01;1;116275;CIMS S.A.;Banco Bradesco S.A.;60.746.948/0001-12;;Cidade de Deus;s/n;Vila Yara;;SP;Brasil;;;;;;;;;2016-06-01;
00.336.701/0001-04;2022-01-01;1;114019;TELEC BRASILEIRAS S.A. TELEBRAS;Banco Bradesco S.A.;60.746.948/0001-12;;CIDADE DE DEUS S/N - PRÉDIO AMARELO;2º ANDAR;Vila Yara;Osasco;SP;Brasil;06029900;;11;36843749;;11;36845645;hamilton.brito@bradesco.com;2010-05-10;
00.359.742/0001-08;2022-01-01;2;113890;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;Banco Bradesco S.A.;60.746.948/0001-12;;AVENIDA YARA;S/N;CIDADE DE DEUS;Osasco;SP;Brasil;06029900;;11;36844114;;11;36843811;4010.fabiana@bradesco.com.br;2008-01-15;
00.416.968/0001-01;2022-01-01;1;112152;BANCO INTER S.A.;Banco Bradesco S.A.;60.746.948/0001-12;;Núcleo Cidade de Deus, s/nº, Prédio Amarelo;2º andar;Vila Yara;Osasco;SP;Brasil;06029900;;11;36844522;;11;36845645;4010.acoes@bradesco.com.br;2018-02-01;
00.545.378/0001-70;2022-01-01;2;128996;SERRA AZUL WATER PARK SA;Banco Bradesco S.A.;60.746.948/0001-12;;BANCO BRADESCO SA;;VILA YARA;São Paulo;SP;Brasil;06029900;;011;38649411;;011;38649411;fernando.serafim@bradesco.com.br;2010-01-14;
00.644.907/0001-93;2022-01-01;1;112919;INVESTCO S.A.;Itaú Corretora de Valores S.A.;61.194.353/0001-64;;Praça Alfredo Egydio de Souza Aranha, 100;Torre Olavo Setubal;Parque Jabaquara;São Paulo;SP;Brasil;04344902;;11;30039285;;;;escrituracaorendavariavel@itau-unibanco.com.br;2009-06-24;
00.743.065/0001-27;2022-01-01;2;114168;LITEL PARTICIPACOES S.A.;Itaú Corretora de Valores Mobiliários S/A;61.194.353/0001-64;;Rua Ururaí, 111;Prédio B - Térreo;Tatuapé;São Paulo;SP;Brasil;03084010;;011;27974128;;011;27973140;rosane-aparecida.silva@itau-unibanco.com.br;2009-04-02;
00.776.574/0001-56;2022-01-01;2;118812;AMERICANAS S.A.;Itaú Corretora de Valores S/A;61.194.353/0001-64;;Praça Alfredo Egydio de Souza Aranha;100;Parque Jabaquara;São Paulo;SP;Brasil;04344902;;11;27974515;;11;27974075;escrituracaoacoes@itau-unibanco.com.br;2022-07-18;
00.864.214/0001-06;2022-01-01;3;120455;ENERGISA S.A.;Itaú Corretora de Valores;61.194.353/0001-64;;Avenida Brigadeiro Faria Lima, 3500;3° andar;Itaim Bibi;São Paulo;SP;Brasil;04538132;;11;30039285;;;;ri@energisa.com.br;2009-09-30;
00.924.429/0001-75;2022-01-01;2;117041;FERROVIA CENTRO-ATLANTICA S.A.;BANCO BRADESCO SA;60.746.948/0001-12;;Avenida Yara;s/n;Cidade de Deus;Osasco;SP;Brasil;06029900;;011;36849441;;011;36843811;dac.escrituracao@bradesco.com.br;2011-08-01;
00.974.211/0001-25;2022-01-01;2;114059;Linha Amarela S.A. - LAMSA;Itaú Unibanco S.A.;60.701.190/0001-04;;Praça Alfredo Egydio de Souza Aranha nº 100;Torre Olavo Setúbal;Parque Jabaquara;São Paulo;SP;Brasil;04344902;;5521;50294249;;5521;50294249;escrituracaodeacoes@itau-unibanco.com.br;2001-11-19;
01.027.058/0001-91;2022-01-01;3;120706;CIELO S.A. -  Instituição de Pagamento;Banco Bradesco S.A.;60.746.948/0001-12;;Cidade de Deus S/N;Prédio Amarelo;Osasco;Osasco;SP;Brasil;06029900;;11;36849495;;11;36843811;4010.acecustodia@bradesco.com.br;2008-08-29;
