CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Empresarial;Canal_Divulgacao;Sigla_UF
10.338.320/0001-00;2022-01-01;2;114374;AFLUENTE TRANSMISSÃO DE ENERGIA ELÉTRICA S/A;http://ri.neoenergia.com/;RJ
10.338.320/0001-00;2022-01-01;2;114374;AFLUENTE TRANSMISSÃO DE ENERGIA ELÉTRICA S/A;https://valor.globo.com/;RJ
10.338.320/0001-00;2022-01-01;2;114374;AFLUENTE TRANSMISSÃO DE ENERGIA ELÉTRICA S/A;Jornal Valor Econômico Impresso;RJ
10.440.482/0001-54;2022-01-01;2;120722;GETNET ADQ E SERV PARA MEIOS DE PAGTO S.A. - INST PAGTO;Diário Oficial do Estado de São Paulo;SP
10.440.482/0001-54;2022-01-01;2;120722;GETNET ADQ E SERV PARA MEIOS DE PAGTO S.A. - INST PAGTO;https://valor.globo.com/valor-ri/;BR
10.440.482/0001-54;2022-01-01;2;120722;GETNET ADQ E SERV PARA MEIOS DE PAGTO S.A. - INST PAGTO;Valor Econômico (Edição Nacional);SP
10.452.416/0001-02;2022-01-01;2;120775;Reag Investimentos S.A.;https://reag.com.br/fale-com-ri/;SP
10.452.416/0001-02;2022-01-01;2;120775;Reag Investimentos S.A.;https://reag.com.br/relacao-com-investidores/;SP
10.452.416/0001-02;2022-01-01;2;120775;Reag Investimentos S.A.;Jornal - Diário Comercial;SP
10.452.416/0001-02;2022-01-01;2;120775;Reag Investimentos S.A.;www.reag.com.br;SP
10.464.223/0001-63;2022-01-01;1;118653;PRIVALIA BRASIL S.A.;Jornal o Dia SP;SP
10.464.223/0001-63;2022-01-01;1;118653;PRIVALIA BRASIL S.A.;ri.privalia.com.br;SP
