CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Empresarial;Tipo_Endereco;Logradouro;Complemento;Bairro;Cidade;Sigla_UF;Pais;CEP;Caixa_Postal;DDI_Telefone;DDD_Telefone;Telefone;DDI_Fax;DDD_Fax;Fax;Email
00.000.000/0001-91;2020-01-01;3;98962;BCO BRASIL S.A.;Endereço da Sede;Saun Quadra 05, Lote B;Ed. BB;Asa Norte;Brasília;DF;Brasil;70040912;;;061;34935601;;061;34935602;ribb@bb.com.br
00.000.000/0001-91;2020-01-01;3;98962;BCO BRASIL S.A.;Endereço para Correspondência;Saun Quadra 05 Lote B Torre Norte - Ed. BB;16° andar;Asa Norte;Brasília;DF;Brasil;70040912;;;061;34939002;;061;34931177;secex@bb.com.br
00.000.208/0001-00;2020-01-01;3;97055;BRB BCO DE BRASILIA S.A.;Endereço da Sede;SAUN Quadra 5 Bloco C;CNC;Asa Norte;Brasília;DF;Brasil;70040250;;;61;34092083;;;;ri@brb.com.br
00.000.208/0001-00;2020-01-01;3;97055;BRB BCO DE BRASILIA S.A.;Endereço para Correspondência;SAUN Quadra 5 Bloco C 11ª andar;CNC;Asa Norte;Brasília;DF;Brasil;70040250;;;61;34092083;;;;ri@brb.com.br
00.001.180/0001-26;2020-01-01;4;104700;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Endereço da Sede;SCN Setor Comercial Norte, Quadra 06, Conjunto A, Bloco A;Salas 601 a 620;Asa Norte;Brasília;DF;Brasil;70716900;;;61;33297343;;;;paula.rodrigues@eletrobras.com
00.001.180/0001-26;2020-01-01;4;104700;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Endereço para Correspondência;Rua da Quitanda, 196;9º Andar;Centro;Rio de Janeiro;RJ;Brasil;20091005;;;21;25146337;;;;paula.rodrigues@eletrobras.com
00.070.698/0001-11;2020-01-01;2;96548;CIA ENERGETICA DE BRASILIA;Endereço da Sede;SIA - Área de Serviços Públicos, Lote C;Bloco E;Guará;Brasília;DF;Brasil;71215902;;;61;34659300;;61;34652007;ari@ceb.com.br
00.070.698/0001-11;2020-01-01;2;96548;CIA ENERGETICA DE BRASILIA;Endereço para Correspondência;SIA - Área de Serviços Públicos, Lote C;Bloco E;Guará;Brasília;DF;Brasil;71215902;;;61;34659300;;61;34652007;ari@ceb.com.br
00.185.475/0001-08;2020-01-01;3;97857;PARCOM PARTICIPACOES S.A. - EM LIQUIDAÇÃO;Endereço da Sede;AV. PRESIDENTE WILSON, 231;28º ANDAR(PTE);CENTRO;Rio de Janeiro;RJ;Brasil;20030021;;;21;38043700;;21;38043480;gar@opportunity.com.br.
00.185.475/0001-08;2020-01-01;3;97857;PARCOM PARTICIPACOES S.A. - EM LIQUIDAÇÃO;Endereço para Correspondência;AV PRESIDENTE WILSON, 231;28º ANDAR(PTE);CENTRO;Rio de Janeiro;RJ;Brasil;20030021;;;21;38043700;;21;38043480;gar@opportunity.com.br
00.192.769/0001-59;2020-01-01;1;92153;NEUMARKT TRADE AND FINANCIAL CENTER S/A;Endereço da Sede;RUA SETE DE SETEMBRO, 1213;NEUMARKT;CENTRO;Blumenau;SC;Brasil;89010203;;;048;30949004;;048;30949004;dri.ntfc@almeidajunior.com.br
00.192.769/0001-59;2020-01-01;1;92153;NEUMARKT TRADE AND FINANCIAL CENTER S/A;Endereço para Correspondência;AVENIDA BRIGADEIRO FARIA LIMA, 2277;16º ANDAR - cj 1604;JARDIM PAULISTANO;;SC;Brasil;01452000;;;048;30949004;;048;30949004;dri.ntfc@almeidajunior.com.br
00.249.786/0001-85;2020-01-01;4;97856;FORPART S.A. - EM LIQUIDAÇÃO;Endereço da Sede;AV PRESIDENTE WILSON, 231;28º ANDAR(PTE);CENTRO;Rio de Janeiro;RJ;Brasil;20030905;;;21;38043700;;21;38043480;gar@opportunity.com.br.
00.249.786/0001-85;2020-01-01;4;97856;FORPART S.A. - EM LIQUIDAÇÃO;Endereço para Correspondência;AV. PRESIDENTE WILSON, 231;28º ANDAR(PTE);CENTRO;Rio de Janeiro;RJ;Brasil;20030905;;;21;38043700;;21;38043480;gar@opportunity.com.br
00.272.185/0001-93;2020-01-01;1;95345;CIMS S.A.;Endereço da Sede;Avenida Bartolomeu Mitre, nº 336;6º andar;Leblon;Rio de Janeiro;RJ;Brasil;22431002;;;021;21596000;;021;21596200;fiscal@vincipartners.com
