CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Empresarial;Escriturador;CNPJ_Escriturador;Tipo_Endereco;Logradouro;Complemento;Bairro;Cidade;Sigla_UF;Pais;CEP;DDI_Telefone;DDD_Telefone;Telefone;DDI_Fax;DDD_Fax;Fax;Email;Data_Inicio_Atuacao;Data_Fim_Atuacao
00.000.000/0001-91;2020-01-01;3;98962;BCO BRASIL S.A.;BANCO DO BRASIL S.A.;00.000.000/0001-91;Endereço da Sede;Rua Lélio Gama, 105;37º andar;Centro;Rio de Janeiro;RJ;Brasil;20031080;;021;38082811;;021;38083466;disem.custodia.atende@bb.com.br;1900-10-12;
00.001.180/0001-26;2020-01-01;4;104700;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Banco Bradesco S.A.;60.746.948/0001-12;Endereço da Sede;Núcleo Cidade de Deus, Prédio Amarelo;2º andar;Vila Yara;Osasco;SP;Brasil;06029900;;011;36842811;;011;36843811;4010.acecustodia@bradesco.com.br;2011-10-01;
00.070.698/0001-11;2020-01-01;2;96548;CIA ENERGETICA DE BRASILIA;Banco Bradesco S.A.;60.746.948/0001-12;Endereço da Sede;Núcleo Cidade de Deus, S/N, Prédio Amarelo;2° Andar;Vila Yara;Osasco;SP;Brasil;06029900;;011;36842852;;011;36842852;4010.tomo@bradesco.com.br;2016-02-01;
00.185.475/0001-08;2020-01-01;3;97857;PARCOM PARTICIPACOES S.A. - EM LIQUIDAÇÃO;Itaú Corretora de Valores SA;61.194.353/0001-64;Endereço da Sede;Av. Brigadeiro Faria Lima, 3.500;3º andar;Itaim Bibi;São Paulo;SP;Brasil;04538132;;011;27974529;;011;27973750;adriana.souza@itau-unibanco.com.br;2015-01-15;
00.192.769/0001-59;2020-01-01;1;92153;NEUMARKT TRADE AND FINANCIAL CENTER S/A;Itau Unibanco S/A;60.701.190/0001-04;Endereço da Sede;PRAÇA ALFREDO EGYDIO DE SOUZA ARANHA;100;TORRE OLAVO SETUBAL;São Paulo;SP;Brasil;04344902;;011;50191133;;011;50191144;relaçoes.investidores@itausa.com.br;1999-09-16;
00.249.786/0001-85;2020-01-01;4;97856;FORPART S.A. - EM LIQUIDAÇÃO;Itaú Corretora de Valores SA;61.194.353/0001-64;Endereço da Sede;Av. Brigadeiro Faria Lima, 3.500;3º andar;Itaim Bibi;São Paulo;SP;Brasil;04538132;;011;27974529;;011;27973750;adriana.souza@itau-unibanco.com.br;2015-01-15;
00.272.185/0001-93;2020-01-01;1;95345;CIMS S.A.;Banco Bradesco S.A.;60.746.948/0001-12;Endereço da Sede;Cidade de Deus;s/n;Vila Yara;;SP;Brasil;;;;;;;;;2016-06-01;
00.336.701/0001-04;2020-01-01;2;100102;TELEC BRASILEIRAS S.A. TELEBRAS;Banco Bradesco S.A.;60.746.948/0001-12;Endereço da Sede;CIDADE DE DEUS S/N - PRÉDIO AMARELO;2º ANDAR;Vila Yara;Osasco;SP;Brasil;06029900;;11;36843749;;11;36845645;hamilton.brito@bradesco.com;2010-05-10;
00.359.742/0001-08;2020-01-01;1;92202;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;Banco Bradesco S.A.;60.746.948/0001-12;Endereço da Sede;AVENIDA YARA;S/N;CIDADE DE DEUS;Osasco;SP;Brasil;06029900;;11;36844114;;11;36843811;4010.fabiana@bradesco.com.br;2008-01-15;
00.416.968/0001-01;2020-01-01;1;90654;BANCO INTER S.A.;Banco Bradesco S.A.;60.746.948/0001-12;Endereço da Sede;Núcleo Cidade de Deus, s/nº, Prédio Amarelo;2º andar;Vila Yara;Belo Horizonte;MG;Brasil;06029900;;11;36844522;;11;36845645;4010.acoes@bradesco.com.br;2018-02-01;
00.545.378/0001-70;2020-01-01;1;94884;SERRA AZUL WATER PARK SA;Banco Bradesco S.A.;60.746.948/0001-12;Endereço da Sede;BANCO BRADESCO SA;;VILA YARA;São Paulo;SP;Brasil;06029900;;011;38649411;;011;38649411;fernando.serafim@bradesco.com.br;2010-01-14;
00.622.416/0001-41;2020-01-01;1;90341;STATKRAFT ENERGIAS RENOVAVEIS S.A.;Banco Bradesco S.A.;60.746.948/0001-12;Endereço da Sede;Cidade de Deus;s/nº;Vila Yara;São Paulo;SP;Brasil;06029900;;11;36849441;;11;36843811;4010.acoes@bradesco.com.br;2010-10-21;
00.644.907/0001-93;2020-01-01;1;91058;INVESTCO S.A.;Itaú Corretora de Valores S.A.;61.194.353/0001-64;Endereço da Sede;R. Boa Vista, 176;1º subsolo;Centro;São Paulo;SP;Brasil;01014000;;11;30039285;;;;escrituracaorendavariavel@itau-unibanco.com.br;2009-06-24;
00.743.065/0001-27;2020-01-01;3;93549;LITEL PARTICIPACOES S.A.;Itaú Corretora de Valores Mobiliários S/A;61.194.353/0001-64;Endereço da Sede;Rua Ururaí, 111;Prédio B - Térreo;Tatuapé;São Paulo;SP;Brasil;03084010;;011;27974128;;011;27973140;rosane-aparecida.silva@itau-unibanco.com.br;2009-04-02;
00.776.574/0001-56;2020-01-01;1;93607;B2W - COMPANHIA DIGITAL;Itau unibanco SA;60.701.190/0001-04;Endereço da Sede;Praça Alfredo Egydio de Souza Aranha;100;Parque Jabaquara;São Paulo;SP;Brasil;04344902;;11;27974515;;11;27974075;escrituracaoacoes@itau-unibanco.com.br;2007-04-01;
00.864.214/0001-06;2020-01-01;4;100112;ENERGISA S.A.;Itaú Corretora de Valores;61.194.353/0001-64;Endereço da Sede;Avenida Eusébio Matoso, 891;17° Andar;Pinheiros;São Paulo;SP;Brasil;05423901;;11;30039285;;;;ri@energisa.com.br;2009-09-30;
00.924.429/0001-75;2020-01-01;1;95642;FERROVIA CENTRO-ATLANTICA S.A.;BANCO BRADESCO SA;60.746.948/0001-12;Endereço da Sede;Avenida Yara;s/n;Cidade de Deus;Osasco;SP;Brasil;06029900;;011;36849441;;011;36843811;dac.escrituracao@bradesco.com.br;2011-08-01;
00.974.211/0001-25;2020-01-01;1;93331;Linha Amarela S.A. - LAMSA;Itaú Unibanco S.A.;60.701.190/0001-04;Endereço da Sede;Praça Alfredo Egydio de Souza Aranha nº 100;Torre Olavo Setúbal;Parque Jabaquara;São Paulo;SP;Brasil;04344902;;5521;50294249;;5521;50294249;escrituracaodeacoes@itau-unibanco.com.br;2001-11-19;
01.027.058/0001-91;2020-01-01;1;90608;CIELO S.A.;Banco Bradesco S.A.;60.746.948/0001-12;Endereço da Sede;Cidade de Deus S/N;Prédio Amarelo;Osasco;Osasco;SP;Brasil;06029900;;11;36849495;;11;36843811;4010.acecustodia@bradesco.com.br;2008-08-29;
01.083.200/0001-18;2020-01-01;2;91278;NEOENERGIA S.A.;Banco do Brasil S.A;00.000.000/0001-91;Endereço para Correspondência;Rua Lélio Gama, 105;26º andar;Centro;Rio de Janeiro;RJ;Brasil;20031080;;21;38083715;;21;38083466;cqualificada@bb.com.br;2001-11-23;2020-02-28
01.083.200/0001-18;2020-01-01;2;91278;NEOENERGIA S.A.;Itaú Corretora de Valores S.A.;61.194.353/0001-64;Endereço da Sede;Rua Virgínia 299, prédio B;Térro;Tatuapé;São Paulo;SP;Brasil;03084010;;0000;30039285;;0011;30039285;escrituracaoacoes@itau-unibanco.com.br;2020-03-02;
01.104.937/0001-70;2020-01-01;2;94773;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;Banco Bradesco S.A.;60.746.948/0001-12;Endereço da Sede;AV IARA, S/N;EDIFICIO;CIDADE DE DEUS;Osasco;SP;Brasil;06029900;;11;36849441;;11;36843811;4010.CARLOSDIAS@BRADESCO.COM.BR;2009-05-18;
01.107.327/0001-20;2020-01-01;1;90897;BBM Logística S.A.;Itaú Corretora S.A.;61.194.353/0001-64;Endereço da Sede;Avenida Brigadeiro Faria Lima, n° 3.500;3º andar;Itaim Bibi;;SP;Brasil;04538132;;;;;;;;2017-10-20;
01.258.944/0001-26;2020-01-01;1;95564;FERROVIA SUL-ATLANTICO S.A.;Itaú Corretora de Valores S.A.;61.194.353/0001-64;Endereço da Sede;Rua Ururaí, 111;Prédio B;Tatuapé;São Paulo;SP;Brasil;03084010;;11;27974526;;11;27973150;escrituracaoacoes@itau-unibanco.com.br;2004-01-15;
01.417.222/0001-77;2020-01-01;2;92905;MRS LOGISTICA S.A.;Banco Bradesco S.A.;60.746.948/0001-12;Endereço da Sede;Cidade de Deus S/Nº - Prédio Amarelo;2º andar;Vila Yara;Osasco;SP;Brasil;06029900;;011;36843749;;011;36842714;4010.acoes@bradesco.com.br;1996-12-16;
01.545.826/0001-07;2020-01-01;1;91350;GAFISA S.A.;Itau Unibanco S/A;60.701.190/0001-04;Endereço da Sede;PÇA ALFREDO E. SOUZA ARANHA T. OLAVO SETUBAL;100;PQ. JABAQUARA;São Paulo;SP;Brasil;04344902;;11;50291612;;11;50291534;rosane-aparecida.silva@itau-unibanco.com.br;2006-03-01;
