CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Empresarial;Contato;Data_Inicio_Contato;Data_Fim_Contato;Tipo_Endereco;Logradouro;Complemento;Bairro;Cidade;Sigla_UF;Pais;CEP;DDI_Telefone;DDD_Telefone;Telefone;DDI_Fax;DDD_Fax;Fax;Email
00.000.000/0001-91;2020-01-01;3;98962;BCO BRASIL S.A.;Daniel Alves Maria;2018-01-09;;Endereço da Sede;Saun Quadra 05, Lote B, Torre Norte, Ed. BB, 4° andar;Ala Leste;Asa Norte;Brasília;DF;Brasil;70040912;;061;34935601;;061;34935602;ribb@bb.com.br
00.000.208/0001-00;2020-01-01;3;97055;BRB BCO DE BRASILIA S.A.;Gustavo Santos de Carvalho;2018-02-01;;Endereço da Sede;SAUN Quadra 5 Bloco C 11ª andar;CNC;Asa Norte;Brasília;DF;Brasil;70040250;;61;34092083;;61;;ri@brb.com.br
00.001.180/0001-26;2020-01-01;4;104700;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Paula Prado Rodrigues Couto;2019-01-18;;Endereço da Sede;Rua da Quitanda, 196;9º Andar;Centro;Rio de Janeiro;RJ;Brasil;20091005;;21;25146337;;;;paula.rodrigues@eletrobras.com
00.070.698/0001-11;2020-01-01;2;96548;CIA ENERGETICA DE BRASILIA;Daniel Guirado dos Reis;2016-02-15;;Endereço da Sede;SIA-Área de Serviços Públicos, Lote C;Bloco E;Guará;Brasília;DF;Brasil;71215902;;61;34659300;;61;34652007;daniel.reis@ceb.com.br
00.192.769/0001-59;2020-01-01;1;92153;NEUMARKT TRADE AND FINANCIAL CENTER S/A;Jaimes Bento de Almeida Neto;2016-08-31;;Endereço da Sede;RUA SETE DE SETEMBRO, 1213;NEUMARKT;CENTRO;Blumenau;SC;Brasil;89010203;;048;30949004;;048;30949004;dri.ntfc@almeidajunior.com.br
00.192.769/0001-59;2020-01-01;1;92153;NEUMARKT TRADE AND FINANCIAL CENTER S/A;Jaimes Bento de Almeida Neto;2016-08-31;;Endereço da Sede;AVENIDA BRIGADEIRO FARIA LIMA, 3015;12º ANDAR;JARDIM PAULISTANO;São Paulo;SP;Brasil;01452000;;048;30949004;;048;30949004;dri.ntfc@almiedajunior.com.br
00.272.185/0001-93;2020-01-01;1;95345;CIMS S.A.;José Guilherme Cruz Souza;2013-08-21;;Endereço da Sede;Avenida Bartolomeu Mitre ,nº 336;6º andar;Leblon;Rio de Janeiro;RJ;Brasil;22431002;;021;21596000;;021;21596200;jgsouza@vincipartners.com
00.336.701/0001-04;2020-01-01;2;100102;TELEC BRASILEIRAS S.A. TELEBRAS;Leandro Neves de Oliveira Bando;2019-12-16;;Endereço da Sede;SIG Quadra 4 lotes 075, 083, 125 e 175, Bloco A;Salas 211 a 224;SIG;Brasília;DF;Brasil;70610440;;061;20271208;;061;20271881;leandro.neves@telebras.com.br
00.359.742/0001-08;2020-01-01;1;92202;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;Guilherme Henrique Cunha;2019-03-18;;Endereço da Sede;Rua Messias Pereira de Paula, nº 333;Parte 3;Elton Ville;Sorocaba;SP;Brasil;18046640;;15;30316100;;15;30316100;ri@atompar.com.br
00.416.968/0001-01;2020-01-01;1;90654;BANCO INTER S.A.;Helena Lopes Caldeira;2019-09-19;;Endereço da Sede;Av. Barbacena, nº 1.219;13º ao 24º andar;Santo Agostinho;Belo Horizonte;MG;Brasil;30190131;;31;21387974;;31;21017084;ri@bancointer.com.br
00.622.416/0001-41;2020-01-01;1;90341;STATKRAFT ENERGIAS RENOVAVEIS S.A.;Fernando Cesar Cani;2017-07-03;;Endereço da Sede;Avenida Osmar Cunha, 416;10º andar;Centro;Florianópolis;SC;Brasil;88015100;;48;38777109;;48;38777101;ri@statkraft.com
00.644.907/0001-93;2020-01-01;1;91058;INVESTCO S.A.;Marilia Barbosa Nogueira;2016-12-14;;Endereço da Sede;Rua Gomes de Carvalho, 1.996;7º andar;Vila Olímpia;São Paulo;SP;Brasil;04547006;;11;21855030;;11;21855917;marilia.nogueira@edpbr.com.br
00.743.065/0001-27;2020-01-01;3;93549;LITEL PARTICIPACOES S.A.;Marcelle Vasconcellos;2015-07-17;;Endereço da Sede;Rua da Assembleia, nº 10, 37º andar;3701;Centro;Rio de Janeiro;RJ;Brasil;20011901;;21;21285543;;21;21285501;governance@eximiacapital.com
