CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Empresarial;Canal_Divulgacao;Sigla_UF
00.000.000/0001-91;2021-01-01;5;110800;BCO BRASIL S.A.;Correio Braziliense;DF
00.000.000/0001-91;2021-01-01;5;110800;BCO BRASIL S.A.;Diário Oficial da União;BR
00.000.000/0001-91;2021-01-01;5;110800;BCO BRASIL S.A.;ri.bb.com.br;BR
00.000.000/0001-91;2021-01-01;5;110800;BCO BRASIL S.A.;www.cvm.gov.br;BR
00.000.208/0001-00;2021-01-01;6;110644;BRB BCO DE BRASILIA S.A.;Brasil Econômico;RJ
00.000.208/0001-00;2021-01-01;6;110644;BRB BCO DE BRASILIA S.A.;Jornal de Brasília;DF
00.000.208/0001-00;2021-01-01;6;110644;BRB BCO DE BRASILIA S.A.;Portal de Notícias NEO1 (http://www.portalneo1.net);SP
00.000.208/0001-00;2021-01-01;6;110644;BRB BCO DE BRASILIA S.A.;Valor Econômico;SP
00.001.180/0001-26;2021-01-01;3;111727;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Diário Oficial da União;DF
00.001.180/0001-26;2021-01-01;3;111727;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Jornal de Brasília;DF
00.070.698/0001-11;2021-01-01;3;107377;CIA ENERGETICA DE BRASILIA;Correio Braziliense;DF
00.080.671/0001-00;2021-01-01;3;111905;CARAMURU ALIMENTOS S.A.;Jornal Plural Notícias;GO
00.185.475/0001-08;2021-01-01;2;109116;PARCOM PARTICIPACOES S.A.;Diário do Acionista;RJ
00.185.475/0001-08;2021-01-01;2;109116;PARCOM PARTICIPACOES S.A.;Diário Oficial;RJ
00.192.769/0001-59;2021-01-01;1;99779;NEUMARKT TRADE AND FINANCIAL CENTER S/A;Diário Oficial de Santa Catarina;SC
00.192.769/0001-59;2021-01-01;1;99779;NEUMARKT TRADE AND FINANCIAL CENTER S/A;Jornal de Santa Catarina (Blumenau);SC
00.194.724/0001-13;2021-01-01;5;113334;AES Brasil Operações S.A.;Portal Valor RI (http://www.valor.com.br/valor-ri);BR
00.194.724/0001-13;2021-01-01;5;113334;AES Brasil Operações S.A.;Valor Econômico;SP
00.242.184/0001-04;2021-01-01;3;107311;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;Diário Oficial do Estado de São Paulo;SP
00.242.184/0001-04;2021-01-01;3;107311;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;O Dia;SP
00.249.786/0001-85;2021-01-01;2;109114;FORPART S.A.;Diário do Acionista;RJ
00.249.786/0001-85;2021-01-01;2;109114;FORPART S.A.;Diário Oficial;RJ
00.272.185/0001-93;2021-01-01;1;105318;CIMS S.A.;Diário Oficial;RJ
00.272.185/0001-93;2021-01-01;1;105318;CIMS S.A.;Monitor Mercantil;RJ
00.336.701/0001-04;2021-01-01;2;112752;TELEC BRASILEIRAS S.A. TELEBRAS;http://www.telebras.com.br/investidores;DF
00.336.701/0001-04;2021-01-01;2;112752;TELEC BRASILEIRAS S.A. TELEBRAS;https://jornaldebrasilia.com.br;DF
00.359.742/0001-08;2021-01-01;3;110260;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;Diário de Sorocaba;SP
00.359.742/0001-08;2021-01-01;3;110260;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;DIÁRIO OFICIAL DO ESTADO DE SP;SP
00.359.742/0001-08;2021-01-01;3;110260;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;Valor Econômico;SP
00.383.281/0001-09;2021-01-01;1;100595;BNDES PARTICIPACOES S.A. - BNDESPAR;Diário Oficial da União;DF
00.383.281/0001-09;2021-01-01;1;100595;BNDES PARTICIPACOES S.A. - BNDESPAR;O Estado de São Paulo;SP
00.389.481/0001-79;2021-01-01;3;109663;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;https://valor.com.br/valor-ri (nacional);BR
00.389.481/0001-79;2021-01-01;3;109663;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;https://valor.com.br/valor-ri (nacional);BR
00.389.481/0001-79;2021-01-01;3;109663;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;https://valor.com.br/valor-ri (nacional);BR
