CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Empresarial;Tipo_Endereco;Logradouro;Complemento;Bairro;Cidade;Sigla_UF;Pais;CEP;Caixa_Postal;DDI_Telefone;DDD_Telefone;Telefone;DDI_Fax;DDD_Fax;Fax;Email
00.000.000/0001-91;2021-01-01;5;110800;BCO BRASIL S.A.;Endereço da Sede;Saun Quadra 05, Lote B;Ed. BB;Asa Norte;Brasília;DF;Brasil;70040912;;;061;34935601;;061;34935602;ribb@bb.com.br
00.000.000/0001-91;2021-01-01;5;110800;BCO BRASIL S.A.;Endereço para Correspondência;Saun Quadra 05 Lote B Torre Norte - Ed. BB;16° andar;Asa Norte;Brasília;DF;Brasil;70040912;;;061;34939002;;061;34931177;secex@bb.com.br
00.000.208/0001-00;2021-01-01;6;110644;BRB BCO DE BRASILIA S.A.;Endereço da Sede;SAUN Quadra 5 Bloco C;CNC;Asa Norte;Brasília;DF;Brasil;70040250;;;61;34092083;;;;ri@brb.com.br
00.000.208/0001-00;2021-01-01;6;110644;BRB BCO DE BRASILIA S.A.;Endereço para Correspondência;SAUN Quadra 5 Bloco C 11ª andar;CNC;Asa Norte;Brasília;DF;Brasil;70040250;;;61;34092083;;;;ri@brb.com.br
00.001.180/0001-26;2021-01-01;3;111727;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Endereço da Sede;SCN Setor Comercial Norte, Quadra 06, Conjunto A, Bloco A;Salas 601 a 620;Asa Norte;Brasília;DF;Brasil;70716900;;;61;33297343;;;;paula.rodrigues@eletrobras.com
00.001.180/0001-26;2021-01-01;3;111727;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Endereço para Correspondência;Rua da Quitanda, 196;9º Andar;Centro;Rio de Janeiro;RJ;Brasil;20091005;;;21;25146337;;;;paula.rodrigues@eletrobras.com
00.070.698/0001-11;2021-01-01;3;107377;CIA ENERGETICA DE BRASILIA;Endereço da Sede;SGAN Quadra 601, Bloco H, Salas 2010 à 2023;Edifício ÍON;Asa Norte;Brasília;DF;Brasil;70830010;;;61;37741001;;61;37741001;ari@ceb.com.br
00.070.698/0001-11;2021-01-01;3;107377;CIA ENERGETICA DE BRASILIA;Endereço para Correspondência;SGAN Quadra 601, Bloco H, Salas 2010 à 2023;Edifício ÍON;Asa Norte;Brasília;DF;Brasil;70830010;;;61;37741001;;61;37741001;ari@ceb.com.br
00.080.671/0001-00;2021-01-01;3;111905;CARAMURU ALIMENTOS S.A.;Endereço da Sede;Via Expressa Júlio Borges de Souza, 4.240;às margens da BR 153;Nossa Senh. da Saúde;Itumbiara;GO;Brasil;75520900;;;64;34040900;;64;34040210;ri@caramuru.com.br
00.080.671/0001-00;2021-01-01;3;111905;CARAMURU ALIMENTOS S.A.;Endereço para Correspondência;Via Expressa Júlio Borges de Souza, 4.240;às margens da BR 153;Nossa Senh. da Saúde;Itumbiara;GO;Brasil;75520900;;;64;34040900;;64;34040210;ri@caramuru.com.br
00.185.475/0001-08;2021-01-01;2;109116;PARCOM PARTICIPACOES S.A.;Endereço da Sede;AV. PRESIDENTE ANTONIO CARLOS Nº 51;10º ANDAR(PTE);CENTRO;Rio de Janeiro;RJ;Brasil;20020010;;;21;38043700;;21;38043480;gar@opportunity.com.br
00.185.475/0001-08;2021-01-01;2;109116;PARCOM PARTICIPACOES S.A.;Endereço para Correspondência;AV PRESIDENTE ANTONIO CARLOS Nº 51;10º ANDAR(PTE);CENTRO;Rio de Janeiro;RJ;Brasil;20020010;;;21;38043700;;21;38043480;gar@opportunity.com.br
00.192.769/0001-59;2021-01-01;1;99779;NEUMARKT TRADE AND FINANCIAL CENTER S/A;Endereço da Sede;RUA SETE DE SETEMBRO, 1213;NEUMARKT;CENTRO;Blumenau;SC;Brasil;89010203;;;048;30949004;;048;30949004;dri.ntfc@almeidajunior.com.br
00.192.769/0001-59;2021-01-01;1;99779;NEUMARKT TRADE AND FINANCIAL CENTER S/A;Endereço para Correspondência;AVENIDA BRIGADEIRO FARIA LIMA, 2277;16º ANDAR - cj 1604;JARDIM PAULISTANO;;SC;Brasil;01452000;;;048;30949004;;048;30949004;dri.ntfc@almeidajunior.com.br
00.194.724/0001-13;2021-01-01;5;113334;AES Brasil Operações S.A.;Endereço da Sede;Rodovia SP 294 - Comandante João Ribeiro de Barros, Km 348;Sala 07;Distrito Industrial;Bauru;SP;Brasil;17064868;;;11;41974925;;;;ri.aesbrasil@aes.com
00.194.724/0001-13;2021-01-01;5;113334;AES Brasil Operações S.A.;Endereço para Correspondência;Av. das Nações Unidas, nº 12.495, 12º andar;;Brooklin Paulista;São Paulo;SP;Brasil;04578000;;;11;41974925;;;;ri.aesbrasil@aes.com
00.242.184/0001-04;2021-01-01;3;107311;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;Endereço da Sede;Av. Marcos Penteado de Ulhôa Rodrigues, 939, Conj. 701 e 702;Torre II, Ed. Jatobá;Tamboré;Barueri;SP;Brasil;06460040;;;11;40035511;;11;40035511;ri@armac.com.br
00.242.184/0001-04;2021-01-01;3;107311;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;Endereço para Correspondência;Av. Marcos Penteado de Ulhôa Rodrigues, 939, Conj. 701 e 702;Torre II, Ed. Jatobá;Tamboré;Barueri;SP;Brasil;06460040;;;11;40035511;;11;40035511;ri@armac.com.br
00.249.786/0001-85;2021-01-01;2;109114;FORPART S.A.;Endereço da Sede;AV PRESIDENTE ANTONIO CARLOS Nº 51;10º ANDAR(PTE);CENTRO;Rio de Janeiro;RJ;Brasil;20020010;;;21;38043700;;21;38043480;gar@opportunity.com.br
00.249.786/0001-85;2021-01-01;2;109114;FORPART S.A.;Endereço para Correspondência;AV. PRESIDENTE ANTONIO CARLOS Nº 51;10º ANDAR(PTE);CENTRO;Rio de Janeiro;RJ;Brasil;20020010;;;21;38043700;;21;38043480;gar@opportunity.com.br
00.272.185/0001-93;2021-01-01;1;105318;CIMS S.A.;Endereço da Sede;Avenida Bartolomeu Mitre, nº 336;6º andar;Leblon;Rio de Janeiro;RJ;Brasil;22431002;;;021;21596000;;021;21596200;fiscal@vincipartners.com
00.272.185/0001-93;2021-01-01;1;105318;CIMS S.A.;Endereço para Correspondência;Avenida Bartolomeu Mitre, nº 336;6º andar;Leblon;Rio de Janeiro;RJ;Brasil;22431002;;;021;21596000;;021;21596200;jgsouza@vincipartners.com
00.336.701/0001-04;2021-01-01;2;112752;TELEC BRASILEIRAS S.A. TELEBRAS;Endereço da Sede;SIG Quadra 4 lotes 075, 083, 125 e 175, Bloco A;Salas 211 a 224;SIG;Brasília;DF;Brasil;70610440;;;61;20271208;;61;0271881;dri@telebras.com.br
00.336.701/0001-04;2021-01-01;2;112752;TELEC BRASILEIRAS S.A. TELEBRAS;Endereço para Correspondência;SIG Quadra 4 lotes 075, 083, 125 e 175, Bloco A;Salas 211 a 224;SIG;Brasília;DF;Brasil;70610440;;;61;20271208;;61;0271881;dri@telebras.com.br
00.359.742/0001-08;2021-01-01;3;110260;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;Endereço da Sede;Rua Messias Pereira de Paula, 333;Parte 3;Elton Ville;Sorocaba;SP;Brasil;18046640;;;15;30316100;;15;30316100;carol@atompar.com.br
00.359.742/0001-08;2021-01-01;3;110260;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;Endereço para Correspondência;Rua Messias Pereira de Paula, nº 333;Parte 3;Elton Ville;Sorocaba;SP;Brasil;18046640;;;15;30316100;;15;30316100;ri@atompar.com.br
00.383.281/0001-09;2021-01-01;1;100595;BNDES PARTICIPACOES S.A. - BNDESPAR;Endereço da Sede;Quadra 09, Torre C - Edifício Parque Cidade;12º andar;Setor Comercial Sul;;DF;Brasil;70308200;;;061;32045600;;061;32045635;dir4@bndes.gov.br
00.383.281/0001-09;2021-01-01;1;100595;BNDES PARTICIPACOES S.A. - BNDESPAR;Endereço para Correspondência;Avenida República do Chile 100;22º andar;Centro;Rio de Janeiro;RJ;Brasil;20031917;;;021;37478590;;;;dir4@bndes.gov.br
00.389.481/0001-79;2021-01-01;3;109663;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;Endereço da Sede;Rua da Alfazema, nº 761;7º andar sala 703;Caminho das Árvores;Salvador;BA;Brasil;41820710;;;71;21029602;;71;21029641;katia.nozela@grupolm.com.br
