CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Sociedade;Razao_Social;CNPJ;Tipo_Sociedade;Descricao_Atividades;Pais_Sede;UF_Sede;Municipio_Sede;Participacao_Emissor;Possui_Registro_CVM;Codigo_CVM;Razao_Aquisicao_Manutencao;Data_Valor_Mercado;Data_Valor_Contabil;Valor_Mercado;Valor_Contabil
00.000.000/0001-91;2021-01-01;28;115866;BCO BRASIL S.A.;675397;Banco Patagonia S.A.;08884213000135;Controlada;Banco múltiplo.;Argentina;;Praia da Pipa;80.38940000;N;;Trata-se de participação estratégica do Conglomerado BB na América do Sul, cuja aquisição teve por objetivo ampliar a parceria entre empresas brasileiras e argentinas, por meio da geração de negócios e diversificação de produtos e serviços.;;2020-12-31;0.00;1834770000.00
00.000.000/0001-91;2021-01-01;28;115866;BCO BRASIL S.A.;675398;Banco Votorantim S.A.;59588111000103;Coligada;Banco múltiplo.;Brasil;SP;São Paulo;50.00000000;N;;Trata-se de participação estratégica do Conglomerado BB.;;2020-12-31;0.00;6067230000.00
00.000.000/0001-91;2021-01-01;28;115866;BCO BRASIL S.A.;675399;BB-Banco de Investimento S.A.;24933830000130;Controlada;Banco de Investimento.;Brasil;RJ;Rio de Janeiro;100.00000000;N;;Subsidiária integral constituída com o objetivo de complementar os serviços de banco de investimento à atividade principal do Conglomerado BB, que viabiliza e complementa, o exercício das atividades previstas no objeto social do seu Controlador. O BB-Banco de Investimento S.A. detém participações acionárias em coligadas e controladas, avaliadas pelo método de equivalência patrimonial, dentre as quais, UBS BB e Ativos S.A.;;2020-12-31;0.00;825140000.00
00.000.000/0001-91;2021-01-01;28;115866;BCO BRASIL S.A.;675400;BB Aktiengesellschaft (BB AG);;Controlada;Banco comercial.;Áustria;;Boqueirão do Piauí;100.00000000;N;;Trata-se de participação estratégica do Conglomerado BB.;;2020-12-31;0.00;1280900000.00
00.000.000/0001-91;2021-01-01;28;115866;BCO BRASIL S.A.;675401;BB Cayman Islands Holding;05528375000142;Controlada;Holding constituída tendo por objetivo participar, direta ou indiretamente, na qualidade de acionista, sócia ou quotista, do capital de outras sociedades e empresas, bem como dedicar-se a qualquer ato ou atividade legal em virtude da qual sociedades possam ser constituídas segundo a Companies Law, desde que a sociedade não seja constituída para dedicar-se a qualquer ato ou atividade que requeira o consentimento ou aprovação de qualquer oficial, departamento, conselho, agência ou outro órgão sem que tal consentimento ou aprovação prévia seja antes obtida.;Ilhas Cayman;;Sinop;100.00000000;N;;Trata-se de participação estratégica do Conglomerado BB.;;2020-12-31;0.00;1431300000.00
00.000.000/0001-91;2021-01-01;28;115866;BCO BRASIL S.A.;675402;BB Elo Cartões Participações S.A.;05105802000180;Controlada;Participação em outras sociedades.;Brasil;DF;Brasília;100.00000000;N;;Trata-se de Sociedade Anônima fechada utilizada como veículo de participação em outras sociedades, notadamente de meios eletrônicos de pagamento. Atualmente possui participação direta na empresa Elo Participações S.A, na Cateno Gestão de Contas de Pagamento S.A., Cielo S.A. e indiretamente na Elo Serviços S.A e Alelo S.A.;;2020-12-31;0.00;9437800000.00
00.000.000/0001-91;2021-01-01;28;115866;BCO BRASIL S.A.;675403;BB Gestão de Recursos - Distribuidora de Títulos e Val. Mobiliários S.A.;30822936000169;Controlada;Gestão de recursos de terceiros e administração dos fundos de investimento.;Brasil;RJ;Rio de Janeiro;100.00000000;N;;Subsidiária constituída com o objetivo de complementar a atividade principal do Conglomerado Banco do Brasil.;;2020-12-31;0.00;1213300000.00
00.000.000/0001-91;2021-01-01;28;115866;BCO BRASIL S.A.;675404;BB Leasing S.A. - Arrendamento Mercantil;31546476000156;Controlada;Prática de operações de arrendamento mercantil de bens móveis ou imóveis, realização de operações de subarrendamento, cessão e aquisição de contratos de arrendamento mercantil, direitos creditórios e demais operações facultadas a sociedade de arrendamento mercantil.;Brasil;DF;Brasília;100.00000000;N;;Subsidiária constituída com o objetivo de complementar a atividade principal do Conglomerado Banco do Brasil.;;2020-12-31;0.00;4777000000.00
00.000.000/0001-91;2021-01-01;28;115866;BCO BRASIL S.A.;675405;BB Seguridade Participações S.A.;17344597000194;Controlada;Participação em sociedades seguradoras, de capitalização, entidades abertas de previdência complementar e sociedades que operam planos privados de assistência à saúde, empresas que detenham participação em outras sociedades administradoras de bens, corretagem e viabilização de negócios envolvendo empresas de seguros dos ramos elementares, de vida e capitalização, planos previdenciários, seguro saúde e em sociedades que operam planos privados de assistência à saúde.;Brasil;DF;Brasília;66.25000000;S;023159;Empresa constituída com o objetivo de complementar a atividade principal do Conglomerado Banco do Brasil.;2020-12-31;2020-12-31;39259750000.00;4364300000.00
00.000.208/0001-00;2021-01-01;13;115568;BRB BANCO DE BRASILIA S.A.;673909;BRB-DTVM Distribuidora de Títulos e Valores Mobiliários S.A.;33850686000169;Controlada;Distribuição de Títulos de Valores Imobiliários;Brasil;DF;Brasília;99.99000000;N;;As sociedades em que o Banco detém participação fazem parte do grupo do Banco e a manutenção dessa participação é inerente às atividades da empresa. Nenhuma das sociedades ligadas possuem ações negociadas em mercados de valores mobiliários.;;2021-06-30;0.00;50133000.00
00.000.208/0001-00;2021-01-01;13;115568;BRB BANCO DE BRASILIA S.A.;673910;BRB - Crédito, Financiamento e Investimento S.A.;33136888000143;Controlada;Sociedades de Crédito, Financiamento e Investimento - financeiras;Brasil;DF;Brasília;100.00000000;N;;As sociedades em que o Banco detém participação fazem parte do grupo do Banco e a manutenção dessa participação é inerente às atividades da empresa. Nenhuma das sociedades ligadas possuem ações negociadas em mercados de valores mobiliários.;;2021-06-30;0.00;311999000.00
00.000.208/0001-00;2021-01-01;13;115568;BRB BANCO DE BRASILIA S.A.;673911;BRB Administradora e Corretora de Seguros S.A.;42597575000183;Controlada;Corretores e agentes de seguros, de planos de previdência complementar e de saúde;Brasil;DF;Brasília;100.00000000;N;;Desenvolvimento de atividades relacionadas a seguros e planos de previdência.;;2021-06-30;0.00;86948000.00
00.000.208/0001-00;2021-01-01;13;115568;BRB BANCO DE BRASILIA S.A.;673912;BRB SERVIÇOS S.A.;12875569000180;Controlada;Atividades de teleatendimento;Brasil;DF;Brasília;100.00000000;N;;Desenvolvimento de atividades relacionadas a teleatendimento.;;2021-06-30;0.00;21291000.00
00.000.208/0001-00;2021-01-01;13;115568;BRB BANCO DE BRASILIA S.A.;673913;Cartão BRB S.A.;01984199000100;Controlada;Administração de cartões de crédito;Brasil;DF;Brasília;69.74000000;N;;As sociedades em que o Banco detém participação fazem parte do grupo do Banco e a manutenção dessa participação é inerente às atividades da empresa. Nenhuma das sociedades ligadas possuem ações negociadas em mercados de valores mobiliários.;;2021-06-30;0.00;426966000.00
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;660640;AES Tietê S.A.;02998609000127;Coligada;Geração e Comercialização;Brasil;SP;São Paulo;7.56000000;N;;;;2020-12-31;0.00;179360387.81
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;660641;CEB LAJEADO S.A.;03677638000150;Coligada;Geração e Comercialização;Brasil;DF;Brasília;40.07000000;N;;Participação de caráter permanente.;;2020-12-31;0.00;58364358.12
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;660642;Centrais Elétricas de Santa Catarina S.A.;83878892000155;Coligada;Geração, Transmissão, Distribuição e Comercialização;Brasil;SC;Florianópolis;10.75000000;S;002461;Participação de caráter permanente.;2020-12-31;2020-12-31;226649763.97;144069488.34
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;660643;Centrais Elétricas do Norte do Brasil S/A - Eletronorte;00357038000116;Controlada;Geração, Transmissão, Distribuição e Comercialização;Brasil;DF;Brasília;99.66000000;N;;Participação de caráter permanente.;;2020-12-31;0.00;11537381212.10
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;660644;Centrais Elétricas do Pará S.A. - CELPA;04895728000180;Coligada;Distribuição e Comercialização;Brasil;PA;Belém;0.99000000;S;018309;Participação de caráter permanente.;2020-12-31;2020-12-31;80308913.56;15058928.49
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;660645;CESP - Companhia Energética de São Paulo;60933603000178;Coligada;Geração e Comercialização;Brasil;SP;São Paulo;2.05000000;S;002577;Participação de caráter permanente.;2020-12-31;2020-12-31;238436613.52;122283903.02
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;660646;CESP - Companhia Energética de São Paulo;60933603000178;Coligada;Geração e Comercialização;Brasil;SP;São Paulo;2.05000000;S;002577;Participação de caráter permanente.;2020-12-31;2020-12-31;291655295.00;52339924.82
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;660647;Chapada do Piauí I Holding;20512213000100;Controlada;Geração;Brasil;SP;São Paulo;49.00000000;N;;Participação de caráter permanente.;;2020-12-31;0.00;158355050.00
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;660648;Chapada do Piauí II Holding;20512161000171;Controlada;Geração;Brasil;SP;São Paulo;49.00000000;N;;Participação de caráter permanente.;;2020-12-31;0.00;213452499.03
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;660649;Cia Celg de Participações - CELGPAR;08560444000193;Coligada;Participação;Brasil;GO;Goiânia;0.07000000;S;021393;Participação de caráter permanente.;2020-12-31;2020-12-31;631592.50;751635.15
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;660650;Cia Paranaense de Energia - COPEL;76483817000120;Coligada;Geração, Transmissão e Distribuição;Brasil;PR;Curitiba;0.56000000;S;014311;Participação de caráter permanente.;2020-12-31;2020-12-31;107154180.00;44246974.28
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;660651;Cia. Energética De Brasília;00070698000111;Coligada;Geração e Distribuição;Brasil;DF;Brasília;2.10000000;S;014451;Participação de caráter permanente.;2020-12-31;2020-12-31;45853657.00;11860617.43
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;660652;COMPANHIA DE GERAÇÃO E TRANSMISSÃO DE ENERGIA ELÉTRICA DO SUL DO BRASIL S.A. - ELETROBRAS CGT ELETRO;00073957000168;Controlada;Transmissão e Geração;Brasil;SC;Florianópolis;99.88000000;N;;Participação de caráter permanente.;;2020-12-31;0.00;6764562283.39
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;660653;Companhia de Geração Termica de Energia Eletrica;02016507000169;Controlada;Geração;Brasil;RS;Porto Alegre;99.99000000;N;;Participação de caráter permanente.;;2019-12-31;0.00;845483211.77
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;660654;Companhia Energética de Alagoas - CEAL;12272084000100;Controlada;Distribuição e Comercialização;Brasil;AL;Maceió;0.00000000;N;;Participação de caráter permanente.;;2019-12-31;0.00;0.00
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;660655;Companhia Energética de Pernambuco - CELPE;10835932000108;Coligada;Distribuição e Comercialização;Brasil;PE;Recife;1.56000000;S;014362;Participação de caráter permanente.;2020-12-31;2020-12-31;39488870.76;10365088.49
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;660656;Companhia Energética do Ceará;07047251000170;Coligada;Distribuição;Brasil;CE;Fortaleza;7.06000000;S;014869;Participação de caráter permanente.;2020-12-31;2020-12-31;291655295.00;52339924.82
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;660657;Companhia Energética do Piauí;06840748000189;Controlada;Distribuição e Comercialização;Brasil;PI;Teresina;0.00000000;N;;Participação de caráter permanente.;;2019-12-31;0.00;0.00
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;660658;Companhia Estadual de Distribuição de Energia Elétrica - CEEE-D;08467115000100;Coligada;Distribuição;Brasil;RS;Porto Alegre;32.59000000;S;020648;Participação de caráter permanente.;2020-12-31;2020-12-31;316343480.00;7724099.70
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;660659;Companhia Estadual de Geração e Transmissão de Energia Elétrica - CEEE-GT;92715812000131;Coligada;Geração e Transmissão;Brasil;RS;Porto Alegre;32.59000000;S;003204;Participação de caráter permanente.;2020-12-31;2020-12-31;1634743580.10;191757849.88
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;660660;Companhia Hidro Elétrica do São Francisco;33541368000116;Controlada;Geração e Transmissão;Brasil;PE;Recife;99.58000000;S;003328;Participação de caráter permanente.;2019-12-31;2020-12-31;0.00;9712790157.80
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;660661;CTEEP - Companhia de Transmissão de Energia Elétrica Paulista;02998611000104;Coligada;Transmissão;Brasil;SP;São Paulo;35.38000000;S;018376;Participação de caráter permanente.;2020-12-31;2020-12-31;6521147214.29;1270057690.08
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;660662;Eletrobras Amazonas Energia GT;17957780000165;Controlada;Geração e Transmissão;Brasil;AM;Manaus;0.00000000;N;;Participação de caráter permanente.;;2019-12-31;0.00;489068809.00
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;660663;Eletrobras Participações S/A;01104937000170;Controlada;Participações societárias;Brasil;RJ;Rio de Janeiro;83.71000000;S;015784;Participação de caráter permanente.;2020-12-31;2020-12-31;778063416.00;98828918.28
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;660664;Eletrobras Termonuclear S.A - Eletronuclear;42540211000167;Controlada;Geração;Brasil;RJ;Rio de Janeiro;99.91000000;N;;Participação de caráter permanente.;;2020-12-31;0.00;6601413199.54
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;660665;EMAE - Empresa Metropolitana de Águas e Energia S.A;02302101000142;Coligada;Geração e Comercialização;Brasil;SP;São Paulo;39.02000000;S;016993;Participação de caráter permanente.;2020-12-31;2020-12-31;1087135671.53;111364254.43
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;660666;Enel Green Power Cachoeira Dourada S.A.;01672223000168;Coligada;Geração e Comercialização;Brasil;DF;Brasília;0.13000000;N;;Participação de caráter permanente.;;2020-12-31;0.00;367727.63
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;660667;Energisa Mato Grosso - Distribuidora de Energia S/A;03467321000199;Coligada;Distribuição e Geração Própria;Brasil;MT;Cuiabá;0.19000000;S;014605;Participação de caráter permanente.;2020-12-31;2020-12-31;11960000.00;2845455.38
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;660668;Energisa S.A.;00864214000106;Coligada;Geração e Comercialização;Brasil;MG;Cataguases;2.31000000;S;015253;Participação de caráter permanente.;2020-12-31;2020-12-31;439887407.96;389336702.30
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;660669;Energisa Sul-Sudeste - Distribuidora de Energia S.A.;07282377000120;Coligada;Distribuição;Brasil;SP;São Paulo;0.01000000;N;;Participação de caráter permanente.;;2020-12-31;0.00;62797.42
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;660670;Energisa Tocantins (Antiga CELTINS -Companhia de Energia Elétrica do Est do Tocantins);25086034000171;Coligada;Distribuição;Brasil;TO;Palmas;0.00001500;N;;Participação de caráter permanente.;;2020-12-31;0.00;77.61
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;660671;EQUATORIAL MARANHÃO DISTRIBUIDORA DE ENERGIA S.A. - Antiga CEMAR;06272793000184;Coligada;Distribuição e Comercialização;Brasil;MA;São Luís;33.55000000;S;016608;Participação de caráter permanente.;2019-12-31;2019-12-31;2624871984.00;440369756.82
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;660672;Furnas- Centrais Elétricas S/A;23274194000119;Controlada;Geração, Transmissão e Comercialização;Brasil;RJ;Rio de Janeiro;99.56000000;N;;Participação de caráter permanente.;;2020-12-31;0.00;6502463537.89
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;660673;Inambari Geração de Energia S/A;09630890000190;Controlada;Geração;Brasil;SP;São Paulo;29.40000000;N;;Participação de caráter permanente.;;2020-12-31;0.00;16008300.00
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;660674;Itaipu Binacional;00395988000135;Controlada;Geração;Brasil;DF;Brasília;50.00000000;N;;Participação de caráter permanente.;;2020-12-31;0.00;50000000.00
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;660675;Lajeado Energia S/A;03460864000184;Coligada;Geração e Comercialização;Brasil;SP;São Paulo;40.07000000;N;;Participação de caráter permanente.;;2020-12-31;0.00;2751309.57
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;660676;Luziânia Niquelândia Transmissora;14863121000171;Controlada;Geração;Brasil;RJ;Rio de Janeiro;49.00000000;N;;Participação de caráter permanente.;;2020-12-31;0.00;16319450.00
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;660677;Norte Energia S.A.;12300288000107;Controlada;Geração;Brasil;DF;Brasília;15.00000000;N;;Participação de caráter permanente.;;2020-12-31;0.00;2009400000.00
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;660678;Paulista Lajeado Energia S.A.;03491603000121;Coligada;Geração e Comercialização;Brasil;SP;São Paulo;40.07000000;N;;Participação de caráter permanente.;;2020-12-31;0.00;22532238.06
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;660679;Rio Paranapanema Energia S.A.;02998301000181;Coligada;Geração e Comercialização;Brasil;SP;São Paulo;0.47000000;S;018368;Participação de caráter permanente.;2020-12-31;2020-12-31;19321746.64;3923531.22
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;660680;Rouar;;Coligada;Geração;Brasil;DF;Brasília;50.00000000;N;;Participação de caráter permanente.;;2020-12-31;0.00;268054170.00
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;660681;Santa Vitória do Palmar Holding;12094666000135;Controlada;Geração;Brasil;DF;Brasília;78.00000000;N;;Participação de caráter permanente.;;2019-12-31;0.00;635188000.00
